TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.224295	0.011533	0.014314	0.025148	0.022832	0.073790	0.046643	0.022345	0.008576	0.013670	0.015570	0.035177	0.021970	0.017283	0.030176	0.416679
None	0.236337	0.003180	0.018862	0.039661	0.020880	0.034509	0.096796	0.091147	0.010419	0.044168	0.030363	0.043894	0.012140	0.003780	0.047081	0.266784
of	0.184067	0.012875	0.019660	0.028664	0.008592	0.009186	0.094991	0.035896	0.005472	0.018489	0.016791	0.021735	0.018402	0.009107	0.027426	0.488648
the	0.105420	0.034693	0.030303	0.199951	0.013135	0.017308	0.083202	0.106009	0.049265	0.028726	0.031298	0.022594	0.019385	0.006578	0.031293	0.220841
original	0.228060	0.048054	0.024205	0.024219	0.002483	0.017452	0.041674	0.046762	0.046516	0.066763	0.018878	0.092384	0.015444	0.012307	0.051706	0.263094
buildings	0.110178	0.053099	0.038319	0.040838	0.004764	0.044660	0.075054	0.027705	0.053071	0.135668	0.098664	0.069136	0.039465	0.044676	0.091914	0.072790
in	0.070460	0.042166	0.054866	0.085475	0.056473	0.076424	0.087718	0.045062	0.022948	0.040144	0.061986	0.060697	0.055114	0.033894	0.064522	0.142050
En	0.169040	0.053430	0.028912	0.048710	0.026601	0.038253	0.106284	0.004674	0.022845	0.065320	0.115433	0.045646	0.032586	0.043293	0.102315	0.096656
##ga	0.295386	0.016118	0.055193	0.046469	0.014638	0.018710	0.080732	0.025156	0.004025	0.014113	0.012138	0.120160	0.012413	0.022110	0.104851	0.157789
##ku	0.188278	0.037260	0.049758	0.059666	0.080566	0.141405	0.079184	0.028304	0.006373	0.001353	0.011187	0.032888	0.034449	0.061854	0.074516	0.112959
##ji	0.167382	0.022290	0.049288	0.027733	0.064095	0.125872	0.078936	0.018192	0.007155	0.006398	0.004111	0.105215	0.035126	0.086818	0.128700	0.072690
are	0.056125	0.010979	0.028150	0.044114	0.056355	0.165439	0.072123	0.020430	0.008254	0.006068	0.022065	0.054601	0.123882	0.068483	0.108297	0.154636
still	0.223174	0.013612	0.025202	0.027834	0.008979	0.030026	0.051336	0.095705	0.040910	0.050390	0.023780	0.080820	0.004672	0.009800	0.095153	0.218607
remaining	0.284115	0.023833	0.028003	0.024699	0.008938	0.070410	0.045068	0.036546	0.019411	0.012236	0.008884	0.073596	0.012376	0.004583	0.073073	0.274231
.	0.096166	0.026199	0.026402	0.058390	0.012471	0.028493	0.125890	0.031970	0.020498	0.038200	0.032497	0.091909	0.048989	0.033139	0.073824	0.254962
[SEP]	0.546371	0.004001	0.005699	0.009769	0.005662	0.008848	0.015725	0.015393	0.005826	0.004700	0.006441	0.005887	0.003281	0.004112	0.010544	0.347741
