TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.602056	0.002858	0.018333	0.030412	0.002902	0.001160	0.012368	0.001770	0.001469	0.003668	0.001560	0.006824	0.002953	0.002157	0.101267	0.208245
None	0.116981	0.071710	0.033416	0.202771	0.029249	0.009077	0.013977	0.001203	0.001929	0.008276	0.002543	0.111977	0.119811	0.140172	0.016951	0.119957
of	0.420109	0.018365	0.028494	0.096556	0.007883	0.003082	0.027753	0.002581	0.002309	0.009732	0.003019	0.026014	0.012827	0.023907	0.063905	0.253463
the	0.275691	0.008981	0.175559	0.046720	0.006595	0.001830	0.054366	0.002770	0.000943	0.007271	0.001748	0.036615	0.010310	0.013066	0.059031	0.298505
original	0.215316	0.041579	0.032581	0.054618	0.057084	0.073417	0.032650	0.003986	0.001797	0.011994	0.013101	0.024887	0.089322	0.113433	0.022281	0.211953
buildings	0.071813	0.023644	0.007442	0.012214	0.241875	0.070045	0.009853	0.002332	0.002844	0.003201	0.032344	0.012874	0.215870	0.244626	0.005919	0.043103
in	0.371460	0.008720	0.025868	0.054515	0.027991	0.005971	0.011819	0.003898	0.003395	0.008999	0.004111	0.033866	0.031901	0.056567	0.037689	0.313231
En	0.269514	0.011110	0.004725	0.046732	0.053946	0.010039	0.001817	0.004846	0.007659	0.158049	0.094767	0.004807	0.022025	0.052774	0.030551	0.226639
##ga	0.202060	0.033385	0.018606	0.036574	0.035665	0.022607	0.016756	0.096488	0.002725	0.316868	0.053507	0.005965	0.008794	0.014452	0.029772	0.105777
##ku	0.331949	0.020992	0.007174	0.013852	0.072402	0.012871	0.008217	0.115172	0.026920	0.046924	0.143336	0.001053	0.020772	0.075404	0.015987	0.086975
##ji	0.135301	0.038444	0.015437	0.017626	0.059902	0.017335	0.016074	0.327113	0.034762	0.139389	0.047873	0.008107	0.012451	0.029725	0.022001	0.078460
are	0.113392	0.118353	0.012929	0.081261	0.054544	0.012207	0.011330	0.001670	0.001450	0.011974	0.005791	0.013262	0.196271	0.134561	0.033093	0.197911
still	0.324729	0.037189	0.023750	0.040450	0.064482	0.010166	0.027402	0.005658	0.004093	0.004471	0.003285	0.046179	0.060086	0.116310	0.037832	0.193920
remaining	0.233197	0.035971	0.051041	0.036384	0.036171	0.019891	0.060003	0.002875	0.001051	0.006872	0.005202	0.070382	0.193109	0.030858	0.077731	0.139262
.	0.050614	0.003844	0.027926	0.128034	0.003791	0.001275	0.026661	0.002930	0.002646	0.003995	0.001923	0.151678	0.015581	0.002971	0.354280	0.221849
[SEP]	0.260457	0.002086	0.035441	0.050446	0.000759	0.000380	0.025292	0.002396	0.001728	0.004100	0.000975	0.015491	0.002253	0.001063	0.429776	0.167357
