TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.467731	0.093958	0.035290	0.034284	0.045911	0.031175	0.049707	0.030355	0.016664	0.019307	0.029452	0.027778	0.035365	0.024895	0.032772	0.025357
None	0.063921	0.170009	0.222738	0.132448	0.097994	0.028195	0.051546	0.056906	0.037361	0.029199	0.043978	0.031236	0.011228	0.010720	0.007699	0.004821
of	0.004874	0.386980	0.090237	0.227405	0.061166	0.050254	0.029912	0.014804	0.034145	0.022119	0.026433	0.016311	0.012845	0.012377	0.006172	0.003965
the	0.005508	0.534560	0.128170	0.071855	0.051480	0.048714	0.034589	0.024478	0.032272	0.015127	0.029285	0.005593	0.005022	0.006448	0.005448	0.001448
original	0.018555	0.389082	0.093160	0.168715	0.054758	0.100396	0.044542	0.034334	0.015301	0.011199	0.039162	0.012843	0.005611	0.005932	0.005162	0.001249
buildings	0.003145	0.184030	0.050414	0.080736	0.354558	0.113352	0.039689	0.028258	0.045272	0.035003	0.030166	0.018317	0.005137	0.009780	0.001511	0.000632
in	0.003033	0.323900	0.052329	0.105711	0.131503	0.112637	0.046851	0.048028	0.074032	0.032543	0.034558	0.012273	0.010854	0.005170	0.005271	0.001307
En	0.057171	0.162789	0.098052	0.051421	0.158702	0.057931	0.198709	0.034138	0.044700	0.051781	0.032814	0.022461	0.011547	0.008670	0.007994	0.001119
##ga	0.074034	0.148045	0.042148	0.076085	0.055806	0.075811	0.203342	0.159361	0.017291	0.038470	0.039566	0.033814	0.014620	0.004933	0.013784	0.002891
##ku	0.063590	0.149976	0.055523	0.029401	0.058071	0.057383	0.101657	0.230173	0.087675	0.018665	0.070652	0.039814	0.025628	0.004972	0.005067	0.001753
##ji	0.148447	0.133545	0.052411	0.038001	0.115670	0.026742	0.119256	0.076135	0.042749	0.078506	0.020022	0.077954	0.037115	0.018721	0.010910	0.003816
are	0.001435	0.088355	0.022576	0.024040	0.020670	0.018880	0.043392	0.053040	0.124475	0.209719	0.204659	0.053591	0.043747	0.017295	0.066790	0.007336
still	0.017298	0.156651	0.058849	0.045446	0.017341	0.019475	0.053908	0.057351	0.073182	0.093365	0.064948	0.149250	0.038095	0.030009	0.106379	0.018453
remaining	0.023993	0.058460	0.021820	0.030343	0.013928	0.031600	0.027698	0.051631	0.036271	0.052542	0.114731	0.197697	0.180882	0.043091	0.092684	0.022629
.	0.002098	0.053684	0.022068	0.010829	0.015138	0.011960	0.019474	0.015167	0.074959	0.086045	0.138197	0.106378	0.150864	0.101088	0.144243	0.047808
[SEP]	0.015856	0.062615	0.038594	0.009011	0.013417	0.005171	0.010954	0.009184	0.008157	0.035248	0.117785	0.081856	0.099988	0.108555	0.338270	0.045340
