TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.019948	0.021267	0.003575	0.005346	0.010617	0.029054	0.025034	0.027418	0.003380	0.019676	0.015912	0.023401	0.005838	0.033448	0.025592	0.730493
None	0.071092	0.028454	0.004424	0.006456	0.000445	0.000617	0.000304	0.000061	0.000015	0.000022	0.000255	0.003568	0.000282	0.000442	0.083107	0.800455
of	0.041446	0.802256	0.008423	0.018132	0.003454	0.009612	0.000451	0.000164	0.000004	0.000008	0.000211	0.003299	0.000478	0.001065	0.010110	0.100888
the	0.026234	0.685591	0.063720	0.013913	0.009645	0.027754	0.002654	0.001555	0.000027	0.000027	0.000262	0.002210	0.000571	0.002353	0.011928	0.151556
original	0.060494	0.022528	0.039782	0.033462	0.014548	0.005799	0.004307	0.002105	0.000122	0.000097	0.000404	0.002534	0.000474	0.000611	0.010713	0.802020
buildings	0.014367	0.015507	0.017020	0.104584	0.049551	0.014896	0.016424	0.014352	0.000381	0.000543	0.000698	0.002248	0.000449	0.000734	0.005839	0.742407
in	0.008490	0.020147	0.009648	0.034984	0.123865	0.416750	0.033722	0.012545	0.003398	0.000952	0.001889	0.001996	0.000231	0.002385	0.005904	0.323095
En	0.014341	0.000611	0.000774	0.002503	0.000331	0.002478	0.038216	0.002231	0.003980	0.001900	0.000416	0.006585	0.000206	0.000065	0.016438	0.908924
##ga	0.011703	0.000719	0.000363	0.001556	0.000938	0.016602	0.003812	0.349146	0.006433	0.022835	0.007502	0.007704	0.000473	0.000848	0.004093	0.565271
##ku	0.002832	0.000222	0.000240	0.000282	0.000175	0.000444	0.001452	0.224322	0.444086	0.034733	0.003168	0.015609	0.000759	0.000406	0.000323	0.270948
##ji	0.001050	0.000247	0.000178	0.001530	0.000436	0.001597	0.024406	0.112899	0.436608	0.041958	0.001602	0.048229	0.000700	0.001109	0.001282	0.326169
are	0.013383	0.076291	0.021198	0.010108	0.008033	0.006175	0.088294	0.016390	0.002489	0.004542	0.004687	0.036815	0.003405	0.014738	0.016569	0.676883
still	0.019008	0.004288	0.001795	0.001414	0.000618	0.000463	0.003449	0.003452	0.000688	0.001894	0.001628	0.025074	0.005025	0.002886	0.017105	0.911212
remaining	0.116281	0.006140	0.003733	0.004305	0.003962	0.004531	0.000964	0.001605	0.000579	0.002860	0.001918	0.052719	0.056479	0.052158	0.057281	0.634485
.	0.042021	0.012779	0.000767	0.001186	0.000901	0.006576	0.003921	0.004766	0.000484	0.002911	0.006876	0.160164	0.047801	0.153201	0.104649	0.450997
[SEP]	0.017956	0.002115	0.002223	0.004354	0.002013	0.003365	0.014486	0.001602	0.001694	0.000691	0.001026	0.003681	0.001089	0.000657	0.026564	0.916485
