TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.162123	0.059414	0.036473	0.040646	0.049807	0.037121	0.037946	0.056361	0.048638	0.054552	0.049731	0.084523	0.070276	0.049800	0.060670	0.101918
None	0.272273	0.062073	0.042061	0.039226	0.041879	0.048081	0.054813	0.010647	0.010930	0.024069	0.016271	0.088601	0.034705	0.092491	0.126099	0.035780
of	0.433280	0.031681	0.013963	0.030613	0.029344	0.030055	0.023317	0.015891	0.033218	0.035846	0.023301	0.082003	0.039525	0.026359	0.073572	0.078032
the	0.217420	0.059265	0.041859	0.027476	0.037686	0.032437	0.059634	0.014086	0.016284	0.022476	0.013521	0.185057	0.066067	0.050353	0.075240	0.081140
original	0.257250	0.010652	0.033422	0.056008	0.100654	0.069857	0.055118	0.002336	0.003646	0.006686	0.005608	0.045040	0.041293	0.039021	0.262859	0.010550
buildings	0.433302	0.003920	0.010256	0.028302	0.057682	0.163285	0.025790	0.002385	0.000261	0.000591	0.000304	0.066824	0.069451	0.032935	0.094238	0.010475
in	0.427478	0.022635	0.037190	0.038664	0.037591	0.032977	0.022715	0.013468	0.035221	0.037142	0.023312	0.073690	0.039357	0.025653	0.092469	0.040438
En	0.373588	0.004246	0.051662	0.051463	0.003295	0.003708	0.037601	0.097389	0.124697	0.041691	0.027431	0.006920	0.004068	0.001770	0.164815	0.005657
##ga	0.152307	0.002758	0.042469	0.027916	0.000723	0.000616	0.026345	0.019943	0.216230	0.303265	0.029480	0.014242	0.002458	0.000584	0.158283	0.002382
##ku	0.129312	0.003306	0.037083	0.017181	0.001479	0.001178	0.039948	0.023189	0.162991	0.343530	0.066722	0.016377	0.005295	0.000824	0.149446	0.002139
##ji	0.160598	0.002692	0.035207	0.012643	0.001468	0.000790	0.027784	0.020393	0.229526	0.321689	0.021003	0.021853	0.010840	0.000632	0.130726	0.002155
are	0.251667	0.032472	0.012434	0.036358	0.078481	0.099548	0.017181	0.001473	0.004399	0.004370	0.003691	0.263996	0.095173	0.032414	0.057913	0.008431
still	0.225673	0.019322	0.019601	0.023416	0.137236	0.057249	0.018278	0.001124	0.002547	0.002691	0.002122	0.115475	0.267142	0.052476	0.047150	0.008498
remaining	0.636796	0.017077	0.023583	0.042847	0.024798	0.057450	0.016974	0.001456	0.001256	0.002984	0.001871	0.039876	0.015912	0.022976	0.065560	0.028586
.	0.323619	0.063927	0.032331	0.040585	0.041465	0.024889	0.026239	0.018277	0.014481	0.016578	0.018914	0.132878	0.056121	0.032718	0.056691	0.100288
[SEP]	0.622096	0.014634	0.021830	0.047138	0.020817	0.030317	0.011322	0.019787	0.008286	0.013145	0.012645	0.010414	0.007503	0.011697	0.111648	0.036723
