TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.753350	0.010057	0.015814	0.013522	0.008965	0.007466	0.006825	0.021661	0.013891	0.016189	0.011569	0.005791	0.009226	0.007065	0.029791	0.068817
None	0.980266	0.007173	0.005411	0.004717	0.001868	0.000109	0.000002	0.000022	0.000011	0.000013	0.000002	0.000005	0.000235	0.000018	0.000013	0.000133
of	0.190941	0.756118	0.012141	0.003114	0.004135	0.023823	0.001060	0.000003	0.000085	0.001383	0.001148	0.000001	0.000041	0.005789	0.000034	0.000183
the	0.026384	0.002798	0.953649	0.005308	0.000355	0.000393	0.010195	0.000287	0.000000	0.000015	0.000190	0.000003	0.000000	0.000012	0.000354	0.000056
original	0.162798	0.000366	0.007732	0.806376	0.008836	0.000471	0.003887	0.003915	0.000026	0.000001	0.000052	0.000024	0.000019	0.000001	0.000085	0.005411
buildings	0.580543	0.000190	0.000852	0.007376	0.380229	0.007598	0.007694	0.004450	0.010114	0.000405	0.000002	0.000026	0.000372	0.000016	0.000002	0.000132
in	0.091401	0.001555	0.000342	0.000456	0.004564	0.875183	0.011443	0.000914	0.000805	0.012457	0.000769	0.000001	0.000028	0.000079	0.000003	0.000001
En	0.912307	0.000022	0.000212	0.000049	0.000012	0.000327	0.053634	0.013132	0.000134	0.003097	0.016770	0.000015	0.000001	0.000009	0.000255	0.000023
##ga	0.024098	0.000001	0.000019	0.000685	0.000312	0.000033	0.002632	0.960860	0.006684	0.000685	0.002972	0.000882	0.000100	0.000000	0.000010	0.000027
##ku	0.004010	0.000000	0.000000	0.000001	0.000015	0.000011	0.000015	0.000679	0.993506	0.001580	0.000044	0.000031	0.000107	0.000001	0.000000	0.000002
##ji	0.014878	0.000017	0.000004	0.000000	0.000003	0.000096	0.000241	0.000548	0.002499	0.974978	0.005407	0.000171	0.000679	0.000397	0.000082	0.000000
are	0.108523	0.000004	0.000013	0.000005	0.000000	0.000016	0.000499	0.001001	0.000037	0.001855	0.844537	0.023997	0.003848	0.003847	0.011530	0.000288
still	0.034511	0.000002	0.000014	0.000028	0.000009	0.000000	0.000021	0.002014	0.000264	0.000072	0.001559	0.946103	0.006953	0.000294	0.003046	0.005111
remaining	0.074986	0.000017	0.000000	0.000009	0.000036	0.000008	0.000000	0.000037	0.000667	0.001615	0.000317	0.005310	0.907543	0.003413	0.001724	0.004316
.	0.268999	0.000321	0.000024	0.000000	0.000003	0.000012	0.000011	0.000002	0.000030	0.013443	0.010854	0.001170	0.013041	0.672420	0.016764	0.002905
[SEP]	0.954298	0.000005	0.000351	0.000007	0.000000	0.000000	0.000001	0.000011	0.000000	0.000005	0.000817	0.000111	0.000135	0.000163	0.036201	0.007896
