TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.329856	0.010789	0.013470	0.023615	0.009013	0.018895	0.027106	0.001825	0.008231	0.007979	0.012342	0.017465	0.005942	0.005096	0.399167	0.109209
None	0.922889	0.000579	0.000252	0.000466	0.000002	0.000976	0.000002	0.000000	0.000000	0.000000	0.000001	0.000076	0.000034	0.000006	0.002980	0.071738
of	0.000334	0.999286	0.000063	0.000006	0.000010	0.000028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000063	0.000002	0.000207
the	0.001616	0.019027	0.969711	0.001008	0.000068	0.000431	0.000144	0.000009	0.000000	0.000000	0.000002	0.000009	0.000001	0.000010	0.000718	0.007247
original	0.002026	0.002780	0.000257	0.990341	0.000322	0.000528	0.000923	0.000005	0.000209	0.000000	0.000022	0.000192	0.000027	0.000000	0.000190	0.002178
buildings	0.004249	0.000370	0.000080	0.001549	0.978911	0.001976	0.000833	0.000079	0.007011	0.000423	0.000006	0.000119	0.000071	0.000056	0.000178	0.004089
in	0.001634	0.001653	0.000021	0.000219	0.000343	0.970053	0.004817	0.000225	0.013491	0.001731	0.004098	0.000083	0.000097	0.000240	0.000054	0.001242
En	0.001498	0.000204	0.000020	0.000046	0.000009	0.000434	0.995491	0.000011	0.000016	0.000022	0.000464	0.000035	0.000000	0.000003	0.000082	0.001662
##ga	0.000017	0.000000	0.000000	0.000003	0.000000	0.000001	0.000020	0.999905	0.000003	0.000002	0.000001	0.000000	0.000000	0.000000	0.000000	0.000047
##ku	0.000008	0.000002	0.000000	0.000000	0.000004	0.000012	0.000007	0.000007	0.999743	0.000128	0.000017	0.000046	0.000005	0.000004	0.000000	0.000018
##ji	0.000003	0.000000	0.000000	0.000000	0.000005	0.000169	0.000087	0.000021	0.000713	0.998717	0.000035	0.000039	0.000013	0.000021	0.000012	0.000165
are	0.000005	0.000081	0.000002	0.000001	0.000000	0.000097	0.000148	0.000461	0.000258	0.000089	0.973809	0.022502	0.000191	0.001717	0.000444	0.000194
still	0.001383	0.000112	0.000005	0.000035	0.000032	0.000051	0.000033	0.000004	0.000136	0.000016	0.000584	0.991949	0.003454	0.000390	0.001339	0.000478
remaining	0.000571	0.000047	0.000001	0.000294	0.000165	0.000899	0.000003	0.000002	0.003738	0.000937	0.000472	0.059622	0.931665	0.000250	0.001148	0.000185
.	0.011942	0.003899	0.000167	0.000018	0.000238	0.000977	0.000095	0.000102	0.000231	0.005784	0.002390	0.002840	0.001763	0.941421	0.021742	0.006391
[SEP]	0.713449	0.004671	0.013004	0.029922	0.006143	0.021950	0.023503	0.013474	0.013916	0.014459	0.016590	0.016460	0.013159	0.005166	0.040417	0.053716
