TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.038062	0.008528	0.003708	0.014966	0.005322	0.065853	0.041657	0.001873	0.002431	0.004905	0.003431	0.047658	0.011398	0.021751	0.011290	0.717167
None	0.033065	0.002109	0.022454	0.043934	0.261205	0.135376	0.025162	0.001056	0.000904	0.000753	0.001984	0.043704	0.006104	0.132731	0.021421	0.268035
of	0.041585	0.010609	0.004173	0.037370	0.278082	0.230663	0.107712	0.001522	0.003351	0.002957	0.002031	0.029686	0.001775	0.037723	0.019560	0.191201
the	0.040608	0.004362	0.002657	0.004311	0.262859	0.181751	0.102235	0.009492	0.008256	0.008776	0.035837	0.010115	0.004869	0.014874	0.022136	0.286859
original	0.007697	0.003605	0.000820	0.003575	0.004931	0.488681	0.026374	0.001376	0.001567	0.001963	0.002544	0.003940	0.000572	0.005334	0.010136	0.436884
buildings	0.002826	0.000847	0.000339	0.001943	0.008193	0.019110	0.007371	0.002579	0.003372	0.000421	0.000820	0.003066	0.005168	0.000457	0.002517	0.940971
in	0.012091	0.005106	0.002127	0.006305	0.043718	0.084174	0.015767	0.018462	0.030419	0.005747	0.008523	0.034898	0.018964	0.006697	0.017992	0.689011
En	0.183460	0.003566	0.006377	0.042031	0.001952	0.000854	0.054364	0.019673	0.143852	0.038035	0.092206	0.029090	0.003065	0.001812	0.204021	0.175642
##ga	0.086842	0.009952	0.001992	0.014398	0.001711	0.002319	0.025082	0.336854	0.002736	0.160778	0.054377	0.008801	0.026893	0.008094	0.093892	0.165279
##ku	0.052036	0.003103	0.015349	0.011568	0.000584	0.001423	0.036498	0.247248	0.019807	0.013658	0.347236	0.008086	0.006753	0.009456	0.081087	0.146110
##ji	0.043496	0.028254	0.033924	0.047021	0.037775	0.028628	0.046057	0.154168	0.075075	0.128396	0.007367	0.063619	0.033564	0.017565	0.036285	0.218805
are	0.018402	0.015292	0.002261	0.004350	0.022827	0.021576	0.015538	0.006191	0.003941	0.001531	0.005632	0.006103	0.295140	0.495831	0.039123	0.046262
still	0.024340	0.004740	0.001311	0.002671	0.013260	0.014651	0.007443	0.000052	0.003297	0.000180	0.001080	0.038104	0.041842	0.544378	0.080126	0.222523
remaining	0.006849	0.021695	0.002800	0.002034	0.141402	0.029144	0.003876	0.001229	0.020707	0.000192	0.000609	0.003137	0.132634	0.057635	0.009754	0.566302
.	0.006346	0.029691	0.003423	0.010834	0.020030	0.042066	0.035177	0.007708	0.008949	0.004136	0.003001	0.095606	0.116768	0.045651	0.013700	0.556913
[SEP]	0.001913	0.000256	0.000112	0.000296	0.001044	0.005268	0.001184	0.000410	0.000268	0.000591	0.002123	0.000669	0.000443	0.000238	0.001003	0.984183
