TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.007865	0.003594	0.000477	0.000372	0.000643	0.002316	0.012393	0.002677	0.002643	0.001153	0.002479	0.001766	0.001856	0.002568	0.005615	0.951586
None	0.002531	0.056074	0.006703	0.002871	0.006644	0.007463	0.008313	0.005266	0.004081	0.000894	0.002306	0.037586	0.040901	0.066635	0.023702	0.728029
of	0.008113	0.058654	0.005188	0.005651	0.011730	0.017814	0.003073	0.005928	0.003268	0.000536	0.001653	0.080613	0.023252	0.047675	0.030566	0.696287
the	0.010953	0.078040	0.012677	0.011643	0.028160	0.019118	0.008390	0.008261	0.005624	0.000406	0.002234	0.072509	0.025554	0.043741	0.045782	0.626907
original	0.022632	0.043484	0.025838	0.035436	0.063722	0.027548	0.016441	0.011539	0.005834	0.001686	0.005335	0.023411	0.005044	0.017913	0.027346	0.666790
buildings	0.015195	0.065227	0.023593	0.045956	0.062020	0.019588	0.011833	0.005085	0.003133	0.002504	0.003256	0.037167	0.009667	0.027879	0.032151	0.635745
in	0.021044	0.070817	0.050530	0.144117	0.139539	0.012539	0.011795	0.046339	0.011796	0.011406	0.032390	0.031592	0.012550	0.010135	0.022062	0.371349
En	0.007578	0.006451	0.003366	0.007023	0.011285	0.012703	0.018041	0.117451	0.170827	0.163273	0.113317	0.018929	0.002928	0.015547	0.009730	0.321550
##ga	0.002754	0.003989	0.001666	0.002106	0.002944	0.008302	0.008500	0.206945	0.040208	0.095974	0.044369	0.009208	0.002690	0.008621	0.003555	0.558169
##ku	0.004542	0.003886	0.001072	0.001626	0.003167	0.018084	0.030092	0.371433	0.162357	0.012341	0.007137	0.005529	0.003648	0.006711	0.002585	0.365788
##ji	0.002959	0.003646	0.000971	0.001407	0.006206	0.011006	0.116943	0.358848	0.128931	0.055387	0.023366	0.007133	0.003606	0.006846	0.003705	0.269040
are	0.018641	0.178861	0.016298	0.014694	0.019882	0.022895	0.040668	0.009374	0.005408	0.005568	0.005540	0.067492	0.056312	0.105134	0.045719	0.387515
still	0.011549	0.262927	0.011060	0.016667	0.017257	0.015336	0.021056	0.009341	0.004729	0.001572	0.003910	0.126111	0.066495	0.047132	0.035496	0.349363
remaining	0.009130	0.068056	0.004645	0.009264	0.009271	0.014828	0.009639	0.014883	0.012649	0.003676	0.005327	0.144894	0.217094	0.061993	0.037386	0.377265
.	0.008816	0.036922	0.004069	0.005719	0.005946	0.034094	0.010675	0.041838	0.012521	0.006720	0.021037	0.094034	0.097848	0.068569	0.058296	0.492895
[SEP]	0.006664	0.005013	0.000890	0.001688	0.002797	0.003764	0.003460	0.005523	0.003987	0.001881	0.002325	0.002097	0.001360	0.003485	0.004150	0.950915
