TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.007782	0.000148	0.000207	0.001080	0.029679	0.001697	0.000490	0.000089	0.000071	0.000077	0.000192	0.004171	0.000784	0.001525	0.022127	0.929882
None	0.001342	0.024455	0.023430	0.010025	0.008151	0.007880	0.001530	0.000164	0.000240	0.000129	0.000208	0.083781	0.013556	0.005385	0.025401	0.794324
of	0.000900	0.033439	0.027055	0.034570	0.018948	0.006118	0.001271	0.000132	0.000150	0.000033	0.000008	0.382350	0.009213	0.002980	0.024628	0.458203
the	0.001152	0.029219	0.031746	0.021761	0.030699	0.014893	0.004778	0.000112	0.000052	0.000054	0.000046	0.331497	0.004287	0.002709	0.014944	0.512050
original	0.002698	0.014169	0.010467	0.026262	0.018458	0.053581	0.010881	0.000643	0.000301	0.000349	0.000506	0.044788	0.001764	0.002828	0.012036	0.800270
buildings	0.002800	0.194129	0.114621	0.099126	0.094307	0.033858	0.013096	0.000729	0.000073	0.000040	0.000418	0.136354	0.008893	0.008024	0.043466	0.250066
in	0.004161	0.040027	0.002889	0.017491	0.025850	0.007675	0.052423	0.000487	0.000197	0.000025	0.000051	0.016196	0.003485	0.001876	0.008827	0.818340
En	0.010289	0.001112	0.000439	0.001772	0.003301	0.009834	0.015683	0.028846	0.201220	0.032299	0.063687	0.000577	0.001500	0.001159	0.010429	0.617853
##ga	0.012552	0.002505	0.000609	0.001878	0.008573	0.019925	0.009162	0.002381	0.001962	0.461276	0.103189	0.001034	0.000812	0.001205	0.003552	0.369386
##ku	0.001243	0.000061	0.000044	0.000088	0.000110	0.000767	0.003166	0.000826	0.000297	0.010097	0.849985	0.000065	0.000093	0.000204	0.000967	0.131987
##ji	0.023696	0.002396	0.001203	0.002666	0.005645	0.015387	0.089190	0.024634	0.000275	0.000527	0.017206	0.004177	0.004383	0.006803	0.012654	0.789158
are	0.005527	0.027120	0.005346	0.003270	0.015185	0.004538	0.004651	0.002082	0.000434	0.000804	0.001742	0.008321	0.068309	0.020775	0.044564	0.787332
still	0.005542	0.043154	0.005127	0.003714	0.011249	0.006001	0.003670	0.000973	0.000294	0.000523	0.002412	0.020760	0.063720	0.044195	0.045590	0.743078
remaining	0.011878	0.044665	0.002862	0.004822	0.037518	0.029827	0.008641	0.001824	0.000187	0.001480	0.002156	0.037078	0.197920	0.070865	0.027313	0.520966
.	0.014270	0.002629	0.002079	0.007245	0.008264	0.001999	0.001911	0.000546	0.000796	0.000915	0.001057	0.010563	0.010036	0.007345	0.056790	0.873554
[SEP]	0.035031	0.008146	0.006033	0.008437	0.006362	0.012236	0.006104	0.007238	0.008089	0.002063	0.006129	0.003287	0.003294	0.005166	0.023330	0.859053
