TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.104339	0.001656	0.000545	0.001406	0.001049	0.011230	0.008674	0.010048	0.006713	0.007473	0.071344	0.003991	0.001954	0.001035	0.002203	0.766342
None	0.050997	0.164447	0.009204	0.043123	0.076985	0.321548	0.020594	0.001413	0.001562	0.001448	0.003000	0.028410	0.039104	0.116737	0.021626	0.099803
of	0.006900	0.002792	0.000378	0.003058	0.009899	0.961794	0.005134	0.000139	0.000092	0.000097	0.000592	0.000695	0.000975	0.000799	0.002739	0.003916
the	0.021810	0.016536	0.004843	0.009855	0.039005	0.801622	0.025164	0.001990	0.002153	0.001635	0.007764	0.001631	0.004663	0.002457	0.007246	0.051625
original	0.026202	0.017392	0.019481	0.045951	0.061849	0.199204	0.016930	0.003882	0.005976	0.002630	0.010546	0.001424	0.002059	0.002709	0.012274	0.571490
buildings	0.009389	0.001265	0.000295	0.002077	0.001712	0.002713	0.004051	0.011118	0.009614	0.008567	0.008744	0.000135	0.000291	0.000294	0.005513	0.934222
in	0.003949	0.000267	0.000088	0.000650	0.000696	0.000269	0.007064	0.051197	0.009584	0.092163	0.820158	0.000074	0.000260	0.000080	0.002094	0.011407
En	0.002165	0.000479	0.000364	0.000725	0.000340	0.000481	0.001595	0.001836	0.005704	0.001284	0.005776	0.000300	0.001478	0.000486	0.006586	0.970403
##ga	0.000237	0.000185	0.000048	0.000229	0.000087	0.000088	0.000115	0.000333	0.001196	0.000221	0.000521	0.000013	0.000046	0.000239	0.000506	0.995934
##ku	0.000536	0.000053	0.000025	0.000103	0.000030	0.000103	0.000149	0.000339	0.001191	0.000200	0.000488	0.000011	0.000056	0.000050	0.000553	0.996113
##ji	0.001168	0.000193	0.000164	0.000714	0.000363	0.007692	0.005704	0.004997	0.004369	0.002500	0.008318	0.000522	0.000897	0.001117	0.001758	0.959524
are	0.017499	0.009444	0.001056	0.006321	0.005164	0.059060	0.018700	0.013250	0.005036	0.003822	0.011454	0.002103	0.131164	0.625548	0.024448	0.065932
still	0.007108	0.014197	0.001900	0.012613	0.006170	0.006844	0.006002	0.005081	0.003078	0.000743	0.002853	0.005482	0.025379	0.670748	0.031960	0.199842
remaining	0.015756	0.029358	0.005118	0.029302	0.036199	0.057456	0.020324	0.004957	0.013651	0.001422	0.008574	0.005403	0.006883	0.036890	0.021769	0.706937
.	0.006698	0.004684	0.004117	0.010698	0.009203	0.032561	0.013211	0.002794	0.003746	0.000806	0.003581	0.007022	0.004836	0.005618	0.003807	0.886617
[SEP]	0.000479	0.000082	0.000106	0.000218	0.000324	0.001231	0.000588	0.000148	0.000224	0.000096	0.000285	0.000138	0.000149	0.000157	0.000154	0.995622
