TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.041397	0.005576	0.002788	0.003655	0.002760	0.020685	0.036145	0.212341	0.138398	0.217486	0.223231	0.013753	0.004597	0.015811	0.021624	0.039753
None	0.000377	0.285065	0.002090	0.000156	0.000100	0.000093	0.000229	0.000010	0.000002	0.000057	0.000096	0.002097	0.000581	0.001681	0.103964	0.603400
of	0.000675	0.008027	0.063751	0.003612	0.003456	0.002183	0.002105	0.000011	0.000006	0.000017	0.000054	0.003156	0.001122	0.011648	0.057866	0.842311
the	0.000285	0.000388	0.002804	0.003634	0.002260	0.003214	0.001664	0.000147	0.000037	0.000106	0.000191	0.004339	0.000715	0.007577	0.069492	0.903147
original	0.000218	0.000020	0.000119	0.000236	0.031306	0.000677	0.000140	0.000023	0.000006	0.000013	0.000120	0.000130	0.002225	0.009463	0.132399	0.822906
buildings	0.000306	0.000024	0.000076	0.000127	0.000648	0.112200	0.001098	0.000063	0.000038	0.000122	0.000514	0.000247	0.000152	0.002467	0.094502	0.787416
in	0.001401	0.000016	0.000053	0.000117	0.000415	0.004729	0.048217	0.001653	0.000430	0.000594	0.006411	0.000103	0.000056	0.000252	0.102664	0.832890
En	0.000020	0.000002	0.000001	0.000002	0.000008	0.000005	0.000043	0.278778	0.011722	0.084534	0.032082	0.000006	0.000002	0.000006	0.060480	0.532309
##ga	0.000185	0.000003	0.000002	0.000003	0.000006	0.000011	0.000133	0.033022	0.223436	0.036702	0.015762	0.000014	0.000009	0.000026	0.063566	0.627121
##ku	0.000029	0.000001	0.000000	0.000001	0.000002	0.000003	0.000014	0.021836	0.013579	0.541549	0.041469	0.000005	0.000001	0.000004	0.034547	0.346961
##ji	0.000033	0.000004	0.000000	0.000001	0.000008	0.000024	0.000058	0.003847	0.002168	0.020273	0.206622	0.000005	0.000006	0.000014	0.066886	0.700049
are	0.000119	0.000698	0.000050	0.000099	0.000156	0.000892	0.000100	0.000008	0.000016	0.000037	0.000034	0.120657	0.002887	0.007945	0.034053	0.832248
still	0.000342	0.000225	0.000059	0.000049	0.000955	0.000087	0.000087	0.000001	0.000006	0.000003	0.000017	0.003685	0.077268	0.040202	0.047961	0.829052
remaining	0.000151	0.000176	0.000244	0.000220	0.004178	0.000399	0.000056	0.000004	0.000010	0.000014	0.000035	0.005665	0.024598	0.316169	0.037779	0.610304
.	0.000313	0.000063	0.000008	0.000019	0.000055	0.000104	0.000138	0.000246	0.000025	0.000061	0.000128	0.000062	0.000039	0.000201	0.139482	0.859055
[SEP]	0.003598	0.000646	0.000191	0.000276	0.001008	0.001514	0.001636	0.004097	0.001200	0.002250	0.003147	0.001014	0.001067	0.004051	0.145002	0.829303
