TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.065229	0.001057	0.000236	0.000662	0.003875	0.002792	0.032016	0.010446	0.006125	0.005130	0.016707	0.001342	0.000947	0.003325	0.005859	0.844252
None	0.000627	0.041312	0.003983	0.007735	0.075874	0.044056	0.021414	0.017444	0.008445	0.008277	0.013140	0.008453	0.029272	0.052589	0.016380	0.650998
of	0.001051	0.034917	0.004988	0.023152	0.132872	0.174389	0.082053	0.049094	0.017007	0.013492	0.025981	0.004743	0.016916	0.022969	0.013998	0.382378
the	0.001546	0.018403	0.003045	0.013109	0.057365	0.036927	0.211026	0.185499	0.044306	0.042519	0.081159	0.004742	0.016778	0.021945	0.019501	0.242131
original	0.003573	0.013794	0.005928	0.011859	0.036475	0.025241	0.142077	0.103698	0.035093	0.024709	0.044488	0.003234	0.006260	0.005708	0.018416	0.519446
buildings	0.011000	0.033138	0.007313	0.011272	0.043589	0.020987	0.116486	0.129376	0.065648	0.057470	0.100474	0.003319	0.003368	0.005789	0.028616	0.362155
in	0.002245	0.000770	0.000166	0.001857	0.013495	0.010366	0.046254	0.218621	0.079820	0.049993	0.231982	0.000593	0.001396	0.002545	0.009252	0.330644
En	0.000413	0.000178	0.000076	0.000253	0.001066	0.001432	0.011682	0.005226	0.009856	0.001237	0.007699	0.000255	0.000496	0.000433	0.002260	0.957439
##ga	0.000700	0.000643	0.000512	0.000662	0.000829	0.005147	0.016733	0.007952	0.007737	0.002420	0.008484	0.001643	0.000890	0.000826	0.001183	0.943636
##ku	0.000376	0.000174	0.000105	0.000175	0.001125	0.001679	0.003204	0.002177	0.003609	0.000345	0.002020	0.000081	0.000132	0.000166	0.001051	0.983580
##ji	0.000781	0.000662	0.000246	0.000597	0.004372	0.006097	0.012481	0.011618	0.011251	0.004079	0.016817	0.000285	0.000461	0.000478	0.002103	0.927672
are	0.000945	0.119624	0.025557	0.038367	0.323596	0.247727	0.005202	0.005228	0.002097	0.001969	0.004390	0.011840	0.037276	0.060752	0.023941	0.091490
still	0.002131	0.033955	0.003806	0.008898	0.257496	0.029814	0.024117	0.022963	0.005095	0.006476	0.012511	0.006099	0.023610	0.038993	0.029831	0.494205
remaining	0.004046	0.025773	0.003375	0.011048	0.112408	0.067395	0.093362	0.064045	0.023191	0.030445	0.037456	0.007718	0.029729	0.034154	0.031395	0.424461
.	0.002358	0.020406	0.004840	0.016699	0.049487	0.030599	0.018666	0.011676	0.006056	0.005047	0.013578	0.013029	0.020398	0.024957	0.122286	0.639919
[SEP]	0.003021	0.000918	0.000880	0.000752	0.000958	0.001403	0.001787	0.000791	0.001660	0.000328	0.001437	0.001063	0.001499	0.001060	0.016840	0.965604
