TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.094376	0.003386	0.000553	0.001957	0.024747	0.016100	0.015584	0.008063	0.001591	0.003894	0.005095	0.004169	0.014763	0.023002	0.047680	0.735042
None	0.002532	0.016559	0.001562	0.005083	0.032134	0.011811	0.021301	0.002611	0.002788	0.003514	0.003162	0.159888	0.217495	0.118134	0.064149	0.337278
of	0.001709	0.037655	0.002307	0.006858	0.054733	0.007157	0.016551	0.004436	0.003028	0.003147	0.004359	0.098346	0.228325	0.102482	0.033872	0.395036
the	0.001971	0.054715	0.003953	0.013636	0.138306	0.016220	0.029998	0.012190	0.005437	0.007644	0.011681	0.071028	0.221355	0.105745	0.043402	0.262716
original	0.003055	0.062816	0.013674	0.043076	0.144256	0.040704	0.048143	0.021960	0.009119	0.007227	0.024907	0.020386	0.040193	0.054917	0.071936	0.393631
buildings	0.003084	0.007338	0.002168	0.003454	0.030015	0.003981	0.013728	0.003488	0.002501	0.002440	0.004379	0.002024	0.015349	0.013471	0.050260	0.842321
in	0.003846	0.089219	0.005128	0.014953	0.093437	0.031944	0.014673	0.016270	0.008539	0.010328	0.015800	0.058138	0.242157	0.139243	0.043371	0.212955
En	0.008792	0.085610	0.011202	0.045390	0.045221	0.070450	0.059648	0.062432	0.141154	0.061820	0.124981	0.021443	0.011261	0.027610	0.099135	0.123852
##ga	0.005579	0.019084	0.002678	0.008776	0.022174	0.028793	0.025726	0.101128	0.079738	0.091959	0.201872	0.006215	0.008825	0.014470	0.048311	0.334673
##ku	0.005695	0.037232	0.005075	0.026384	0.036761	0.066798	0.073554	0.125304	0.104385	0.072288	0.160628	0.018147	0.009816	0.016056	0.057943	0.183934
##ji	0.006174	0.057352	0.005460	0.024355	0.045546	0.082977	0.073176	0.070068	0.098683	0.053907	0.130202	0.024519	0.021902	0.048035	0.052318	0.205326
are	0.002228	0.035996	0.002461	0.010913	0.029597	0.028331	0.014843	0.002236	0.003359	0.005896	0.003930	0.097027	0.439029	0.222681	0.054358	0.047116
still	0.002946	0.025936	0.001889	0.006872	0.018674	0.016128	0.026910	0.004029	0.003459	0.008687	0.005395	0.286856	0.183202	0.211634	0.080810	0.116572
remaining	0.004965	0.016419	0.001274	0.005144	0.026787	0.015081	0.017830	0.006753	0.006836	0.014790	0.010601	0.081042	0.313495	0.082078	0.083400	0.313506
.	0.004476	0.005698	0.000766	0.001554	0.006182	0.003015	0.002760	0.001187	0.000507	0.001315	0.002808	0.010003	0.020703	0.025208	0.094505	0.819313
[SEP]	0.025474	0.007715	0.003585	0.004293	0.011250	0.006431	0.005878	0.003808	0.001921	0.003808	0.011574	0.010868	0.018072	0.016935	0.182859	0.685529
