TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.837459	0.025828	0.000281	0.000601	0.002233	0.006661	0.001243	0.017647	0.003399	0.003180	0.006234	0.000393	0.001420	0.001987	0.017056	0.074379
None	0.018942	0.181818	0.069395	0.113006	0.045531	0.019278	0.167030	0.015493	0.019686	0.021424	0.011368	0.028645	0.052394	0.024427	0.021703	0.189860
of	0.010978	0.339657	0.041140	0.050503	0.098675	0.108422	0.054395	0.005961	0.005587	0.013766	0.008285	0.027381	0.054704	0.059393	0.018407	0.102746
the	0.010101	0.082050	0.106370	0.143967	0.129282	0.076366	0.073395	0.017526	0.009103	0.041290	0.022174	0.034525	0.049039	0.065568	0.038284	0.100961
original	0.029380	0.148177	0.063150	0.048904	0.080837	0.147434	0.047501	0.017690	0.003715	0.013341	0.014572	0.010660	0.071061	0.076698	0.025162	0.201718
buildings	0.015780	0.036316	0.045758	0.115877	0.208075	0.189887	0.021866	0.023508	0.019704	0.013632	0.035652	0.035241	0.055711	0.040632	0.027257	0.115103
in	0.011453	0.032446	0.072745	0.023708	0.098753	0.505582	0.032866	0.019476	0.006844	0.010613	0.005851	0.024465	0.076006	0.039018	0.008792	0.031382
En	0.053567	0.065357	0.033676	0.047421	0.016743	0.025579	0.082967	0.067246	0.192399	0.093939	0.131490	0.017790	0.008562	0.035455	0.041059	0.086749
##ga	0.040826	0.034099	0.006901	0.017333	0.006273	0.005296	0.010257	0.310288	0.011305	0.292993	0.188099	0.007526	0.005927	0.001726	0.013681	0.047470
##ku	0.097519	0.023794	0.007822	0.009577	0.020861	0.003727	0.020299	0.203485	0.258719	0.038597	0.125532	0.022973	0.006121	0.003736	0.029314	0.127923
##ji	0.054500	0.079423	0.020687	0.008989	0.022155	0.005802	0.030778	0.094654	0.124470	0.279199	0.146892	0.012337	0.005706	0.006187	0.025290	0.082932
are	0.005221	0.064115	0.057309	0.020516	0.092802	0.051162	0.059349	0.004531	0.007211	0.012002	0.063266	0.014077	0.238705	0.218968	0.040896	0.049871
still	0.017013	0.036111	0.037344	0.012062	0.179704	0.024436	0.049020	0.004706	0.009880	0.014780	0.062390	0.060713	0.085613	0.224608	0.031604	0.150017
remaining	0.043076	0.073723	0.019362	0.017865	0.130323	0.079244	0.026148	0.007476	0.013860	0.020123	0.043033	0.057240	0.128651	0.091525	0.077343	0.171007
.	0.014659	0.072506	0.026684	0.033456	0.003249	0.004655	0.070212	0.028867	0.018753	0.034524	0.011434	0.052486	0.011063	0.013604	0.023614	0.580233
[SEP]	0.074661	0.044099	0.007271	0.008756	0.006510	0.016167	0.007386	0.018582	0.006028	0.020782	0.031369	0.012623	0.023150	0.017980	0.225844	0.478791
