TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.010285	0.017522	0.036856	0.040411	0.047354	0.155732	0.044129	0.160310	0.065766	0.099336	0.051469	0.019172	0.046826	0.079612	0.059149	0.066070
None	0.008980	0.013931	0.012159	0.007754	0.005438	0.022840	0.008584	0.014983	0.010356	0.012099	0.012305	0.015144	0.006633	0.005139	0.392372	0.451282
of	0.001494	0.001523	0.000817	0.001350	0.001262	0.004336	0.005576	0.004129	0.004337	0.003824	0.006565	0.001887	0.000930	0.000730	0.432578	0.528665
the	0.001790	0.001660	0.000912	0.000773	0.000675	0.003389	0.004766	0.002152	0.004570	0.002861	0.002861	0.001486	0.000768	0.000848	0.437195	0.533293
original	0.001713	0.001197	0.002799	0.002167	0.002064	0.008910	0.011712	0.002077	0.003259	0.002124	0.003804	0.001802	0.000619	0.001050	0.432479	0.522223
buildings	0.004624	0.006848	0.002527	0.001607	0.002772	0.007061	0.016841	0.004570	0.005608	0.003907	0.003532	0.002774	0.001191	0.002127	0.429891	0.504120
in	0.006756	0.009460	0.001793	0.003880	0.004416	0.008375	0.015140	0.008464	0.013978	0.009049	0.026827	0.002795	0.003124	0.002381	0.406598	0.476965
En	0.004211	0.004353	0.003058	0.003281	0.003138	0.004316	0.006156	0.012344	0.019954	0.009217	0.028848	0.004266	0.004408	0.002502	0.413707	0.476241
##ga	0.003068	0.001569	0.000188	0.000192	0.000121	0.000506	0.001998	0.007110	0.007302	0.005466	0.003842	0.000391	0.000220	0.000095	0.438907	0.529026
##ku	0.004912	0.003242	0.001761	0.001717	0.002059	0.003125	0.004612	0.009236	0.009123	0.007328	0.024120	0.001190	0.001667	0.001268	0.426261	0.498378
##ji	0.008679	0.010507	0.010337	0.009830	0.009696	0.013581	0.021479	0.029052	0.051517	0.017241	0.040843	0.013291	0.008968	0.009993	0.349894	0.395092
are	0.002015	0.003371	0.001206	0.000569	0.000574	0.001301	0.001448	0.005092	0.006547	0.004036	0.003852	0.001443	0.001026	0.000837	0.443116	0.523566
still	0.003070	0.010471	0.007484	0.005813	0.003003	0.005793	0.009862	0.004313	0.004675	0.002963	0.003123	0.016013	0.006253	0.005885	0.423467	0.487812
remaining	0.001985	0.006575	0.002311	0.002317	0.001678	0.004498	0.004510	0.004841	0.003213	0.002818	0.003456	0.006254	0.002631	0.002385	0.433400	0.517128
.	0.039728	0.054533	0.059604	0.054536	0.070093	0.100515	0.059193	0.070972	0.064849	0.057406	0.065077	0.045719	0.056621	0.065003	0.067188	0.068962
[SEP]	0.039521	0.053896	0.062008	0.055371	0.072126	0.104256	0.060148	0.071091	0.067248	0.057864	0.063979	0.046536	0.057163	0.067189	0.060137	0.061468
