TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.025059	0.005549	0.003935	0.016602	0.018099	0.020108	0.017649	0.000740	0.000957	0.001452	0.001292	0.009412	0.008116	0.014568	0.018387	0.838075
None	0.016366	0.032421	0.022708	0.061033	0.188075	0.064461	0.038417	0.004809	0.000945	0.002562	0.002415	0.017583	0.065270	0.053965	0.079738	0.349232
of	0.015874	0.036065	0.033317	0.070610	0.118048	0.035722	0.063260	0.002905	0.000630	0.001764	0.000692	0.012608	0.016402	0.022317	0.100328	0.469460
the	0.041363	0.032221	0.040784	0.082724	0.096817	0.089375	0.079270	0.001957	0.000424	0.001367	0.001009	0.014071	0.025778	0.028032	0.121906	0.342901
original	0.060872	0.025227	0.031095	0.046739	0.054647	0.044062	0.037652	0.002758	0.000489	0.001680	0.004181	0.023667	0.050063	0.050566	0.061654	0.504648
buildings	0.032354	0.021564	0.020832	0.030441	0.041809	0.095026	0.126893	0.003861	0.001314	0.001580	0.007120	0.006313	0.011363	0.017547	0.043746	0.538235
in	0.051634	0.016020	0.029513	0.045621	0.100402	0.147678	0.101177	0.003015	0.000409	0.002230	0.005551	0.043154	0.038556	0.069740	0.051420	0.293879
En	0.019872	0.006593	0.002312	0.007036	0.009257	0.006031	0.091598	0.009284	0.015229	0.015957	0.023536	0.005471	0.008406	0.010453	0.049053	0.719911
##ga	0.048549	0.004082	0.001193	0.004516	0.004399	0.021675	0.029590	0.026020	0.027639	0.044225	0.040845	0.002191	0.005273	0.006742	0.044844	0.688217
##ku	0.020710	0.004805	0.002583	0.006704	0.008769	0.010565	0.037246	0.004536	0.013301	0.011574	0.019175	0.005233	0.009185	0.014153	0.069247	0.762212
##ji	0.038699	0.008217	0.003957	0.007612	0.013459	0.020883	0.143930	0.007704	0.022484	0.015518	0.035641	0.007554	0.021682	0.017096	0.054381	0.581184
are	0.025552	0.011144	0.012264	0.030807	0.208770	0.037255	0.035656	0.001424	0.000282	0.000759	0.001073	0.056789	0.076654	0.101708	0.076387	0.323476
still	0.055556	0.034786	0.013938	0.023669	0.162227	0.035654	0.035802	0.002624	0.000381	0.001045	0.001215	0.055527	0.102874	0.201929	0.073249	0.199524
remaining	0.036136	0.023458	0.022467	0.037941	0.141835	0.048225	0.047674	0.000865	0.000194	0.000334	0.001414	0.064006	0.091113	0.129374	0.078538	0.276427
.	0.048701	0.037167	0.014672	0.041884	0.055549	0.018406	0.028381	0.003947	0.002303	0.003676	0.001881	0.053545	0.102465	0.120658	0.059573	0.407191
[SEP]	0.011517	0.005043	0.002819	0.002640	0.002253	0.004366	0.004119	0.004907	0.004160	0.002065	0.002917	0.003450	0.003134	0.004769	0.005842	0.935999
