TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.491491	0.013490	0.004177	0.012729	0.028090	0.040426	0.015996	0.008720	0.004120	0.034542	0.011560	0.011587	0.003865	0.012753	0.018741	0.287711
None	0.000787	0.004740	0.013951	0.034184	0.016046	0.013807	0.055250	0.011432	0.007497	0.006717	0.006151	0.048106	0.042251	0.027041	0.205318	0.506723
of	0.001666	0.027467	0.010711	0.044886	0.014981	0.052234	0.111833	0.016416	0.013158	0.018985	0.010442	0.064375	0.049910	0.034744	0.179180	0.349014
the	0.003691	0.079029	0.024205	0.031458	0.029626	0.059793	0.089745	0.045765	0.020072	0.023334	0.019080	0.099886	0.069110	0.037329	0.171125	0.196752
original	0.002755	0.037265	0.020839	0.053146	0.007103	0.040465	0.086676	0.055609	0.039238	0.018520	0.027036	0.079557	0.037865	0.028668	0.202999	0.262259
buildings	0.003594	0.047823	0.019312	0.035976	0.016180	0.012812	0.073729	0.122206	0.132313	0.048656	0.073449	0.048025	0.047617	0.012840	0.172771	0.132697
in	0.002434	0.039601	0.022823	0.072575	0.070154	0.127057	0.068929	0.047382	0.023750	0.069529	0.045096	0.165562	0.030577	0.025556	0.126466	0.062512
En	0.001467	0.014481	0.011146	0.048751	0.059806	0.112744	0.110314	0.009453	0.039066	0.108718	0.093860	0.082688	0.016737	0.013088	0.046509	0.231174
##ga	0.000751	0.008183	0.011679	0.039826	0.052225	0.042366	0.065370	0.011118	0.004280	0.022971	0.017723	0.070457	0.026465	0.015934	0.045790	0.564863
##ku	0.001151	0.007678	0.007942	0.021181	0.033166	0.032021	0.077890	0.012415	0.010990	0.006624	0.012131	0.081531	0.025821	0.025288	0.032962	0.611207
##ji	0.001869	0.021910	0.019323	0.043936	0.053799	0.052373	0.080228	0.018515	0.018393	0.021036	0.018295	0.143336	0.044997	0.040742	0.059912	0.361336
are	0.003326	0.023094	0.008545	0.025237	0.036997	0.021251	0.081272	0.053599	0.055068	0.093692	0.039258	0.025012	0.029700	0.021551	0.150507	0.331894
still	0.001099	0.059574	0.028897	0.032227	0.028603	0.009950	0.063935	0.006213	0.007621	0.023232	0.015781	0.140228	0.009718	0.024047	0.121783	0.427089
remaining	0.002793	0.060771	0.025872	0.028314	0.016403	0.007948	0.024760	0.015449	0.018728	0.044274	0.027661	0.045875	0.012289	0.004629	0.118883	0.545353
.	0.001734	0.053165	0.012555	0.027100	0.055193	0.055837	0.079641	0.015491	0.016537	0.032265	0.028623	0.038111	0.036066	0.025622	0.078888	0.443172
[SEP]	0.000425	0.000324	0.000319	0.000818	0.000560	0.000544	0.000970	0.000166	0.000729	0.000336	0.000338	0.000946	0.000678	0.000546	0.001612	0.990689
