TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.003255	0.034835	0.024313	0.030612	0.046724	0.048126	0.119604	0.005875	0.004316	0.003867	0.015982	0.059517	0.045308	0.073384	0.227645	0.256638
None	0.027461	0.009262	0.002380	0.005752	0.016263	0.011767	0.037254	0.038487	0.014665	0.034707	0.055328	0.006673	0.005864	0.013994	0.313554	0.406589
of	0.029682	0.024256	0.003063	0.007131	0.033897	0.016651	0.039953	0.040067	0.029106	0.032553	0.053101	0.016426	0.024841	0.035372	0.274526	0.339374
the	0.020649	0.041920	0.011810	0.023945	0.091088	0.067045	0.069730	0.040015	0.023173	0.035851	0.054934	0.050901	0.053757	0.112310	0.141963	0.160908
original	0.014603	0.027905	0.019232	0.035079	0.169883	0.118998	0.039843	0.033317	0.023378	0.038597	0.044117	0.039774	0.037597	0.091893	0.126355	0.139431
buildings	0.013023	0.011302	0.004618	0.010114	0.049975	0.027734	0.031366	0.033704	0.015135	0.037131	0.042113	0.018828	0.013817	0.023800	0.298214	0.369127
in	0.013226	0.028931	0.012571	0.028983	0.083065	0.057999	0.025726	0.075626	0.036412	0.077174	0.066323	0.047225	0.077755	0.204761	0.081650	0.082573
En	0.034738	0.027830	0.016647	0.029740	0.097129	0.106192	0.053111	0.005667	0.003725	0.008400	0.005592	0.016961	0.042185	0.080660	0.215773	0.255649
##ga	0.035351	0.009375	0.004980	0.012731	0.019262	0.020288	0.047014	0.006768	0.003861	0.007704	0.008428	0.002538	0.003990	0.009124	0.347820	0.460765
##ku	0.065775	0.021546	0.017371	0.045366	0.084837	0.071048	0.119235	0.017387	0.012204	0.020412	0.016625	0.010148	0.018410	0.032339	0.206183	0.241115
##ji	0.027190	0.021478	0.021888	0.050418	0.097901	0.080681	0.091679	0.010577	0.005533	0.011628	0.009331	0.017318	0.035323	0.061902	0.208172	0.248983
are	0.032004	0.021688	0.007820	0.018996	0.065503	0.058882	0.205304	0.061973	0.015406	0.024583	0.096288	0.028260	0.021662	0.052314	0.133334	0.155982
still	0.012862	0.026601	0.010971	0.024694	0.070674	0.066583	0.176906	0.077663	0.025631	0.046593	0.106150	0.027025	0.025129	0.060500	0.114391	0.127627
remaining	0.013115	0.019294	0.007832	0.017088	0.083466	0.081505	0.052227	0.056564	0.024111	0.039123	0.095903	0.025006	0.031149	0.069549	0.181163	0.202905
.	0.040919	0.000983	0.000316	0.000518	0.001654	0.001503	0.001336	0.011455	0.011448	0.030305	0.012892	0.000443	0.000233	0.000503	0.354063	0.531427
[SEP]	0.034550	0.001007	0.000350	0.000545	0.001667	0.001555	0.001241	0.011729	0.011337	0.030925	0.013024	0.000491	0.000261	0.000521	0.358316	0.532482
