TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.107069	0.076332	0.039151	0.037933	0.041672	0.075507	0.048968	0.016587	0.014554	0.011707	0.010176	0.065129	0.049622	0.063236	0.169406	0.172952
None	0.006793	0.067313	0.019115	0.012488	0.033318	0.057708	0.014809	0.004861	0.001688	0.002247	0.003043	0.023378	0.035290	0.036054	0.328250	0.353648
of	0.003056	0.042915	0.028567	0.012947	0.022169	0.020385	0.010533	0.001793	0.001772	0.001062	0.001778	0.010709	0.014522	0.022088	0.381368	0.424335
the	0.003463	0.056631	0.018776	0.015262	0.030844	0.017455	0.019285	0.003704	0.003866	0.004212	0.005409	0.014855	0.017279	0.019954	0.366125	0.402881
original	0.006241	0.056485	0.017288	0.022016	0.057755	0.044110	0.028429	0.005075	0.005525	0.004364	0.007690	0.018677	0.024203	0.020045	0.324453	0.357643
buildings	0.011219	0.025524	0.019341	0.025732	0.015976	0.050902	0.037817	0.008995	0.013276	0.007474	0.013194	0.031155	0.011479	0.009726	0.341880	0.376309
in	0.009125	0.027944	0.014604	0.016347	0.020661	0.015174	0.032977	0.009038	0.007875	0.008157	0.012667	0.017372	0.013265	0.008495	0.374604	0.411696
En	0.003545	0.012408	0.002270	0.002422	0.003883	0.001748	0.006081	0.006987	0.005299	0.005836	0.010768	0.006290	0.004224	0.001614	0.435567	0.491060
##ga	0.001955	0.010686	0.001430	0.001800	0.001612	0.000572	0.002729	0.003185	0.011825	0.004330	0.007514	0.004634	0.002071	0.001174	0.437827	0.506655
##ku	0.001825	0.008596	0.001955	0.002343	0.003176	0.001279	0.004721	0.002103	0.002348	0.003017	0.003747	0.004785	0.003191	0.001112	0.447959	0.507842
##ji	0.007169	0.014767	0.002927	0.004316	0.005238	0.002512	0.010480	0.007707	0.010766	0.012054	0.021504	0.008816	0.003837	0.001960	0.417163	0.468785
are	0.005842	0.039930	0.015425	0.009915	0.008580	0.008453	0.010715	0.008580	0.006208	0.004936	0.006520	0.037207	0.030098	0.020714	0.375188	0.411690
still	0.004244	0.025185	0.010334	0.007047	0.010980	0.009026	0.006865	0.004501	0.004769	0.002782	0.004289	0.027309	0.030173	0.019723	0.396732	0.436041
remaining	0.003245	0.036216	0.010386	0.007493	0.012261	0.010448	0.008878	0.002859	0.002892	0.002020	0.002879	0.029665	0.032812	0.029544	0.383787	0.424615
.	0.063532	0.058683	0.062124	0.059342	0.062222	0.080272	0.067305	0.063947	0.062364	0.051787	0.055370	0.062874	0.059578	0.064970	0.062862	0.062768
[SEP]	0.063795	0.057567	0.063649	0.060715	0.063941	0.083178	0.068062	0.064990	0.063657	0.053026	0.055921	0.062370	0.060416	0.066350	0.056319	0.056045
