TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.019737	0.000960	0.000646	0.001091	0.002993	0.014217	0.019517	0.004519	0.003076	0.003388	0.010560	0.000494	0.000451	0.002081	0.001286	0.914984
None	0.000689	0.006233	0.001884	0.012292	0.013769	0.031138	0.029260	0.000814	0.000725	0.000710	0.001707	0.007724	0.018465	0.038778	0.012004	0.823808
of	0.001118	0.006614	0.000942	0.008691	0.036538	0.180408	0.064238	0.000337	0.000319	0.000597	0.001987	0.002876	0.006402	0.026925	0.010040	0.651968
the	0.000917	0.007625	0.001863	0.005189	0.038317	0.225073	0.067421	0.002333	0.001224	0.002427	0.006892	0.002860	0.007216	0.032733	0.007120	0.590789
original	0.001044	0.002782	0.001533	0.004287	0.007821	0.038098	0.065584	0.004874	0.003129	0.002738	0.007101	0.000594	0.000480	0.001988	0.003255	0.854692
buildings	0.001436	0.002688	0.001003	0.002142	0.004432	0.032525	0.035380	0.004140	0.001947	0.001206	0.007995	0.000720	0.000192	0.000580	0.007198	0.896414
in	0.002810	0.003604	0.001087	0.004124	0.017582	0.014822	0.055750	0.012949	0.004101	0.025157	0.032651	0.004623	0.005491	0.019962	0.010257	0.785030
En	0.002255	0.005265	0.000892	0.000716	0.000581	0.000391	0.005586	0.085731	0.040287	0.389635	0.103656	0.002250	0.003367	0.003960	0.009502	0.345927
##ga	0.002264	0.003738	0.000323	0.000545	0.000755	0.001312	0.008202	0.126829	0.019897	0.304686	0.261385	0.002030	0.002445	0.002123	0.008661	0.254805
##ku	0.005903	0.005663	0.001790	0.001960	0.001079	0.001557	0.007997	0.092473	0.061040	0.157786	0.113783	0.008142	0.011128	0.017983	0.028586	0.483130
##ji	0.002735	0.010807	0.002057	0.002079	0.002161	0.003297	0.019569	0.047768	0.019791	0.133769	0.027792	0.003375	0.007341	0.010089	0.010795	0.696577
are	0.000697	0.027056	0.004665	0.014263	0.024334	0.092889	0.048830	0.002053	0.000853	0.000676	0.010391	0.016143	0.071112	0.220679	0.023097	0.442262
still	0.001034	0.027038	0.007094	0.010614	0.015307	0.049172	0.023613	0.004473	0.002107	0.001398	0.007840	0.026877	0.028360	0.123997	0.030704	0.640370
remaining	0.001040	0.030249	0.013317	0.016367	0.024688	0.575346	0.046925	0.004329	0.002106	0.002544	0.011858	0.008845	0.001952	0.011577	0.006087	0.242770
.	0.001114	0.006820	0.001479	0.005241	0.008012	0.009145	0.009908	0.001106	0.000801	0.000487	0.001856	0.003576	0.007468	0.008494	0.014847	0.919646
[SEP]	0.007482	0.000976	0.000632	0.001101	0.001010	0.001612	0.001455	0.000954	0.000684	0.000379	0.000969	0.000565	0.000498	0.000665	0.009368	0.971651
