TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.720738	0.017886	0.019768	0.008726	0.015088	0.017228	0.011074	0.010451	0.013350	0.013711	0.015874	0.011854	0.013077	0.013819	0.009661	0.087694
None	0.754268	0.133804	0.005126	0.001725	0.002157	0.004153	0.007960	0.024536	0.006693	0.006950	0.007763	0.009060	0.012043	0.009899	0.007209	0.006655
of	0.392874	0.035799	0.005868	0.013452	0.022372	0.023844	0.015812	0.022906	0.070290	0.024635	0.061682	0.054248	0.085067	0.087948	0.022499	0.060703
the	0.411795	0.051929	0.024858	0.019395	0.026319	0.024218	0.022850	0.026372	0.043625	0.037761	0.029568	0.051890	0.056420	0.092426	0.050547	0.030027
original	0.377127	0.089904	0.014770	0.010646	0.145762	0.022956	0.008750	0.011545	0.009189	0.004597	0.014225	0.031445	0.050645	0.132462	0.036309	0.039669
buildings	0.202172	0.014473	0.009170	0.011725	0.018476	0.375037	0.019677	0.008183	0.009880	0.002547	0.014020	0.073460	0.032365	0.065454	0.021545	0.121817
in	0.465518	0.067169	0.019753	0.018056	0.025889	0.019676	0.018091	0.032972	0.030563	0.012991	0.017797	0.028711	0.082197	0.061385	0.036394	0.062837
En	0.584773	0.016547	0.007640	0.006849	0.002979	0.001762	0.013612	0.300729	0.012326	0.008083	0.002943	0.002529	0.003475	0.006626	0.014496	0.014630
##ga	0.144371	0.014990	0.017125	0.030742	0.005357	0.005661	0.007454	0.014293	0.578224	0.052356	0.044821	0.006475	0.012445	0.009843	0.047223	0.008621
##ku	0.409279	0.011113	0.014968	0.008701	0.004146	0.001580	0.006844	0.012226	0.024090	0.429433	0.042860	0.003612	0.004479	0.003981	0.014587	0.008102
##ji	0.086040	0.008421	0.005426	0.012200	0.005027	0.002981	0.004820	0.006431	0.053145	0.152431	0.613346	0.007806	0.008719	0.010460	0.010774	0.011974
are	0.444568	0.147630	0.033099	0.023281	0.045392	0.042858	0.030344	0.045321	0.011771	0.026119	0.020037	0.028563	0.031366	0.017016	0.026458	0.026178
still	0.285145	0.191906	0.028492	0.019828	0.060044	0.025771	0.023043	0.023873	0.005502	0.006761	0.018361	0.030039	0.121327	0.115888	0.022417	0.021603
remaining	0.596967	0.070819	0.024958	0.011203	0.051472	0.031517	0.020621	0.020268	0.004627	0.001937	0.003827	0.008056	0.027846	0.091324	0.017177	0.017382
.	0.662302	0.077702	0.016723	0.021151	0.023692	0.019955	0.028967	0.018265	0.016919	0.008485	0.015749	0.020307	0.023236	0.014492	0.007786	0.024268
[SEP]	0.791615	0.041755	0.052334	0.019672	0.017289	0.015276	0.013908	0.014697	0.002161	0.005148	0.002626	0.003429	0.003410	0.003479	0.001978	0.011222
