TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.004229	0.083511	0.025625	0.020505	0.036948	0.012864	0.011719	0.033759	0.020982	0.007872	0.021349	0.041694	0.034936	0.023100	0.274842	0.346064
None	0.034941	0.063413	0.003372	0.009131	0.020546	0.006563	0.005366	0.003769	0.000618	0.006301	0.009988	0.006054	0.004537	0.004078	0.323978	0.497344
of	0.094632	0.027128	0.007769	0.023041	0.075993	0.040438	0.038638	0.020869	0.005232	0.060588	0.093723	0.001994	0.003345	0.011227	0.199544	0.295840
the	0.051849	0.010781	0.002290	0.006501	0.026644	0.010855	0.024025	0.065564	0.020278	0.223375	0.233340	0.000841	0.001492	0.002311	0.132939	0.186916
original	0.009504	0.001504	0.000489	0.001588	0.016428	0.004260	0.011241	0.048746	0.020950	0.277613	0.286898	0.000164	0.000374	0.000809	0.126423	0.193008
buildings	0.041811	0.003738	0.001059	0.003442	0.021064	0.028252	0.028908	0.018733	0.006682	0.041655	0.079924	0.000143	0.000391	0.000871	0.297646	0.425680
in	0.046045	0.007246	0.000523	0.001103	0.005163	0.002849	0.009366	0.115487	0.078823	0.254359	0.298538	0.001116	0.001530	0.001314	0.071821	0.104719
En	0.057528	0.001402	0.000136	0.000306	0.001105	0.001083	0.010760	0.053137	0.022568	0.041762	0.037735	0.000307	0.000689	0.000567	0.320755	0.450158
##ga	0.031645	0.000458	0.000036	0.000073	0.000200	0.000209	0.006008	0.036182	0.024272	0.031313	0.021071	0.000098	0.000134	0.000077	0.347299	0.500924
##ku	0.110544	0.001254	0.000117	0.000285	0.000843	0.000777	0.023869	0.092826	0.100307	0.117611	0.092203	0.000252	0.000527	0.000408	0.199581	0.258598
##ji	0.101331	0.002402	0.000245	0.000409	0.001321	0.001610	0.020084	0.069273	0.056677	0.063837	0.077789	0.000371	0.000875	0.000784	0.262006	0.340986
are	0.101166	0.164478	0.005990	0.015958	0.015562	0.005961	0.031235	0.029548	0.007258	0.063649	0.054201	0.023871	0.014704	0.011811	0.195877	0.258731
still	0.054770	0.071573	0.004835	0.013609	0.021322	0.005290	0.024233	0.044215	0.010244	0.120949	0.097364	0.010184	0.009479	0.014141	0.206490	0.291301
remaining	0.068208	0.036135	0.004852	0.019003	0.053292	0.015267	0.035253	0.022816	0.005596	0.067792	0.085583	0.004844	0.006331	0.014472	0.238260	0.322295
.	0.002902	0.001337	0.000385	0.000420	0.000442	0.000793	0.001052	0.000971	0.000388	0.001048	0.001277	0.000498	0.000377	0.000125	0.479577	0.508409
[SEP]	0.003267	0.001829	0.000572	0.000578	0.000622	0.001042	0.001320	0.001300	0.000518	0.001327	0.001593	0.000719	0.000553	0.000173	0.483329	0.501257
