TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.054512	0.012949	0.007319	0.005387	0.002194	0.012194	0.020362	0.002075	0.002372	0.004136	0.015292	0.002864	0.000854	0.012262	0.250711	0.594517
None	0.219454	0.039865	0.003174	0.045568	0.011428	0.032419	0.001910	0.000086	0.000393	0.000102	0.002935	0.008335	0.000067	0.002448	0.040633	0.591184
of	0.012234	0.835272	0.024000	0.027090	0.004917	0.017935	0.000794	0.000791	0.000037	0.000006	0.000126	0.000538	0.000158	0.000386	0.001952	0.073762
the	0.014006	0.299387	0.451813	0.040612	0.013979	0.022744	0.009840	0.001027	0.000159	0.000017	0.000083	0.000453	0.000049	0.000137	0.007810	0.137885
original	0.004692	0.100248	0.033090	0.451672	0.056302	0.046747	0.010793	0.001299	0.000715	0.000231	0.000318	0.000925	0.000053	0.000434	0.005588	0.286892
buildings	0.000286	0.021208	0.005850	0.028245	0.165636	0.005349	0.001839	0.000322	0.000030	0.000123	0.000084	0.000458	0.000125	0.001225	0.000976	0.768245
in	0.000415	0.007627	0.000147	0.001587	0.005568	0.641503	0.004780	0.000416	0.000360	0.000115	0.000635	0.005324	0.000115	0.001113	0.000347	0.329947
En	0.004679	0.004238	0.000769	0.006777	0.000830	0.001224	0.111874	0.002478	0.000375	0.000413	0.005194	0.004650	0.000127	0.005141	0.010545	0.840687
##ga	0.000166	0.000067	0.000002	0.000036	0.000024	0.000147	0.001355	0.958343	0.000116	0.000033	0.000010	0.000163	0.000101	0.000143	0.000132	0.039163
##ku	0.000085	0.000008	0.000002	0.000017	0.000023	0.001127	0.000339	0.002196	0.973244	0.016842	0.001047	0.000558	0.000205	0.000352	0.000026	0.003931
##ji	0.000027	0.000006	0.000001	0.000004	0.000003	0.000108	0.000026	0.000066	0.037604	0.953982	0.002593	0.001117	0.000685	0.000438	0.000048	0.003291
are	0.000159	0.000139	0.000020	0.000089	0.000054	0.000320	0.000534	0.000222	0.000541	0.000709	0.013280	0.000951	0.000139	0.007662	0.002381	0.972801
still	0.000519	0.000462	0.000017	0.000360	0.000345	0.003814	0.000644	0.001856	0.006551	0.016565	0.008678	0.495752	0.112906	0.184431	0.001912	0.165188
remaining	0.000234	0.002944	0.000113	0.000993	0.001854	0.006872	0.000635	0.001543	0.004370	0.026011	0.006620	0.309336	0.352472	0.187220	0.003080	0.095703
.	0.001635	0.001243	0.000264	0.000271	0.000211	0.002812	0.000830	0.001053	0.000298	0.000835	0.006663	0.017208	0.005051	0.172021	0.035295	0.754310
[SEP]	0.002651	0.000325	0.000213	0.000393	0.000135	0.000155	0.000551	0.000088	0.000219	0.000365	0.000396	0.000339	0.000092	0.000788	0.008052	0.985239
