TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.044165	0.001497	0.000848	0.004689	0.013533	0.048867	0.082574	0.007005	0.004921	0.002584	0.016613	0.001502	0.003340	0.018154	0.040269	0.709438
None	0.004679	0.019053	0.031210	0.057878	0.061099	0.128879	0.082619	0.001448	0.001964	0.001679	0.002694	0.039376	0.049234	0.254244	0.077414	0.186530
of	0.002380	0.015469	0.008487	0.020573	0.085946	0.496155	0.041185	0.001702	0.002927	0.003986	0.007099	0.008038	0.008772	0.111189	0.039158	0.146934
the	0.002125	0.016786	0.004309	0.010828	0.082378	0.422693	0.034076	0.004413	0.005102	0.009113	0.015553	0.002609	0.005833	0.074482	0.043421	0.266280
original	0.002837	0.009590	0.006439	0.009695	0.025846	0.359557	0.068521	0.004385	0.007457	0.005841	0.010153	0.001689	0.001216	0.014485	0.050972	0.421316
buildings	0.003806	0.004267	0.001077	0.002845	0.021388	0.354679	0.015770	0.007033	0.009539	0.009348	0.013114	0.000462	0.000557	0.005834	0.074624	0.475655
in	0.008183	0.014398	0.002686	0.012779	0.053859	0.275801	0.030556	0.017328	0.017036	0.019497	0.063198	0.003302	0.011867	0.029269	0.034148	0.406092
En	0.002174	0.000472	0.000262	0.001024	0.003297	0.009708	0.009632	0.004591	0.004439	0.002539	0.009503	0.000138	0.000479	0.001410	0.038722	0.911610
##ga	0.001558	0.000254	0.000160	0.000464	0.002255	0.004676	0.006254	0.002526	0.002434	0.002817	0.006843	0.000086	0.000232	0.000721	0.030758	0.937965
##ku	0.001346	0.000402	0.000258	0.000742	0.002468	0.010609	0.013796	0.002364	0.003911	0.000654	0.003999	0.000082	0.000225	0.000701	0.032163	0.926279
##ji	0.004600	0.002160	0.001084	0.002385	0.005842	0.024957	0.022060	0.007954	0.007285	0.003140	0.013008	0.000690	0.001568	0.005177	0.070616	0.827475
are	0.001548	0.021781	0.008500	0.023607	0.093660	0.125490	0.049364	0.001569	0.001223	0.001679	0.005731	0.012600	0.035314	0.378155	0.048950	0.190829
still	0.002964	0.024589	0.028967	0.079329	0.066614	0.237357	0.136475	0.004496	0.002041	0.004692	0.011161	0.017162	0.010810	0.158021	0.058160	0.157161
remaining	0.001837	0.013352	0.014733	0.036573	0.063446	0.583942	0.053027	0.001545	0.001741	0.001802	0.004469	0.004146	0.003028	0.065613	0.041888	0.108857
.	0.001324	0.001344	0.001012	0.000912	0.001590	0.006003	0.001820	0.000453	0.000391	0.000404	0.000666	0.000494	0.001186	0.001786	0.056033	0.924581
[SEP]	0.004832	0.002748	0.003395	0.002006	0.002657	0.010207	0.004136	0.001418	0.001161	0.001424	0.001215	0.001005	0.001985	0.001833	0.124489	0.835490
