TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.007876	0.007630	0.032668	0.033820	0.006682	0.006180	0.101204	0.049992	0.004343	0.009159	0.024885	0.006757	0.005162	0.005890	0.305179	0.392574
None	0.160583	0.079869	0.014346	0.055813	0.009492	0.008819	0.009579	0.003499	0.000429	0.001509	0.003525	0.008793	0.000886	0.002818	0.186748	0.453293
of	0.060871	0.039615	0.274901	0.074011	0.002446	0.008427	0.033323	0.007203	0.000589	0.000472	0.001119	0.006322	0.001507	0.003356	0.208043	0.277794
the	0.116003	0.037687	0.110629	0.289434	0.004675	0.005542	0.029365	0.011263	0.000780	0.000955	0.002408	0.007930	0.003194	0.003204	0.139936	0.236993
original	0.140725	0.023299	0.008014	0.046917	0.015802	0.025488	0.016973	0.010393	0.002641	0.003479	0.004310	0.011517	0.010029	0.020841	0.106872	0.552701
buildings	0.035705	0.010187	0.016233	0.043478	0.003339	0.011695	0.048579	0.006825	0.000739	0.001133	0.004052	0.007442	0.002986	0.004484	0.234208	0.568917
in	0.087602	0.002488	0.022352	0.036420	0.002535	0.007309	0.191113	0.013792	0.003120	0.004209	0.014980	0.015402	0.001481	0.001779	0.156363	0.439054
En	0.077582	0.005700	0.005413	0.024063	0.004148	0.007551	0.019032	0.078721	0.010999	0.028728	0.024734	0.010557	0.003102	0.001934	0.090700	0.607035
##ga	0.026052	0.001190	0.002076	0.006280	0.002678	0.001890	0.021944	0.050691	0.010774	0.034502	0.058521	0.011925	0.004825	0.004445	0.052567	0.709639
##ku	0.012066	0.002510	0.011529	0.013034	0.003744	0.002865	0.039830	0.047069	0.023032	0.034914	0.044421	0.011486	0.003430	0.004964	0.124232	0.620875
##ji	0.041954	0.000994	0.001357	0.005469	0.002634	0.002835	0.013282	0.029759	0.012280	0.016167	0.031210	0.014277	0.004487	0.005334	0.066512	0.751447
are	0.337255	0.012596	0.001967	0.007880	0.002669	0.008037	0.006586	0.005005	0.000664	0.002940	0.009062	0.078998	0.007569	0.008781	0.128549	0.381440
still	0.103711	0.014524	0.004741	0.008400	0.006162	0.019040	0.009340	0.011210	0.005552	0.004718	0.009616	0.039043	0.015249	0.030322	0.107380	0.610991
remaining	0.114093	0.003879	0.002281	0.006639	0.006068	0.041722	0.007446	0.001347	0.005613	0.003432	0.010760	0.014157	0.014373	0.045501	0.124053	0.598638
.	0.100001	0.009555	0.008448	0.018545	0.003019	0.009901	0.017269	0.007178	0.002853	0.006686	0.016339	0.020158	0.004344	0.009541	0.276109	0.490054
[SEP]	0.119071	0.024185	0.009324	0.024302	0.009167	0.011197	0.010598	0.029258	0.012488	0.008976	0.007074	0.010556	0.006723	0.006939	0.042160	0.667982
