TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.036451	0.001298	0.000408	0.006148	0.000601	0.045582	0.003610	0.008536	0.002497	0.022121	0.006218	0.003958	0.000529	0.001353	0.003905	0.856785
None	0.002192	0.005093	0.016184	0.046003	0.010579	0.002238	0.001886	0.000556	0.000417	0.000455	0.000977	0.024444	0.000581	0.004469	0.002114	0.881813
of	0.003772	0.605320	0.020376	0.150104	0.081657	0.012354	0.028214	0.000898	0.000074	0.000339	0.000340	0.017923	0.000849	0.014708	0.002361	0.060710
the	0.006284	0.265151	0.071121	0.022548	0.238533	0.037322	0.032589	0.001367	0.001203	0.004147	0.002388	0.005761	0.000998	0.004733	0.007763	0.298092
original	0.003750	0.014306	0.011997	0.024043	0.006310	0.030602	0.006093	0.009989	0.001387	0.004747	0.000231	0.001235	0.000563	0.000499	0.002520	0.881730
buildings	0.002947	0.013765	0.005097	0.059020	0.190551	0.009327	0.002114	0.003240	0.000925	0.000643	0.000077	0.002054	0.009258	0.004342	0.001648	0.694995
in	0.009615	0.026594	0.004424	0.011262	0.040192	0.023243	0.002885	0.008841	0.003799	0.000848	0.000645	0.003657	0.001683	0.003033	0.005884	0.853392
En	0.019049	0.003092	0.000577	0.003184	0.004041	0.002254	0.021554	0.012857	0.291641	0.168117	0.039626	0.005995	0.002950	0.004565	0.002357	0.418140
##ga	0.002499	0.002392	0.000043	0.000803	0.000971	0.001768	0.002090	0.764564	0.010523	0.034877	0.008875	0.000785	0.001023	0.000502	0.000820	0.167464
##ku	0.072154	0.002698	0.000266	0.004831	0.002745	0.012162	0.002045	0.050493	0.414553	0.008909	0.006385	0.022565	0.002258	0.008784	0.006703	0.382448
##ji	0.019718	0.000682	0.000084	0.003820	0.001380	0.002263	0.002235	0.106738	0.079895	0.299063	0.004977	0.114452	0.006475	0.007002	0.005778	0.345437
are	0.003240	0.018026	0.001511	0.002989	0.014202	0.002656	0.017637	0.000572	0.001111	0.011038	0.007307	0.014935	0.512159	0.081729	0.012129	0.298760
still	0.008393	0.005349	0.001629	0.001259	0.000734	0.001996	0.001035	0.004863	0.004402	0.009102	0.002571	0.133514	0.026431	0.050144	0.027361	0.721216
remaining	0.009225	0.004695	0.000281	0.002785	0.003050	0.001498	0.000637	0.002353	0.001792	0.002900	0.001786	0.038373	0.392677	0.010252	0.036498	0.491198
.	0.056013	0.009370	0.002137	0.002980	0.002300	0.012090	0.010969	0.007758	0.000992	0.005521	0.008088	0.034046	0.025392	0.033071	0.086132	0.703141
[SEP]	0.015498	0.003882	0.001182	0.006933	0.005043	0.002696	0.003413	0.002042	0.004354	0.010143	0.002607	0.014972	0.003581	0.002254	0.006371	0.915028
