TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.483195	0.018863	0.021587	0.026085	0.008245	0.027483	0.028116	0.014108	0.008532	0.022401	0.014056	0.025586	0.014743	0.038884	0.076161	0.171957
None	0.403539	0.005506	0.010295	0.026503	0.011744	0.023552	0.044992	0.004377	0.000995	0.005555	0.005552	0.077194	0.032160	0.058648	0.098279	0.191111
of	0.742849	0.004229	0.003764	0.007297	0.004698	0.002921	0.005295	0.000896	0.000141	0.000246	0.000690	0.006179	0.004257	0.016640	0.036318	0.163580
the	0.505150	0.020253	0.018409	0.025149	0.025400	0.039288	0.034036	0.005987	0.002508	0.005366	0.013271	0.033090	0.030231	0.028716	0.080255	0.132892
original	0.017796	0.003855	0.004042	0.004883	0.032233	0.814685	0.018840	0.000091	0.000070	0.000088	0.000200	0.023032	0.005859	0.021796	0.016512	0.036017
buildings	0.015048	0.003333	0.007516	0.022588	0.480789	0.173785	0.028398	0.000174	0.000306	0.000084	0.000759	0.073443	0.015545	0.068177	0.017830	0.092223
in	0.309580	0.015128	0.022101	0.030360	0.053068	0.165229	0.039426	0.003532	0.002287	0.008900	0.010510	0.036156	0.052236	0.034122	0.091571	0.125794
En	0.627016	0.006983	0.007911	0.011204	0.002133	0.002726	0.018691	0.002018	0.011026	0.022600	0.020495	0.012915	0.002643	0.006897	0.063142	0.181599
##ga	0.529753	0.001725	0.003361	0.006331	0.002577	0.000932	0.017197	0.008479	0.001704	0.041801	0.008968	0.001709	0.000979	0.001707	0.055427	0.317349
##ku	0.307342	0.001638	0.003764	0.008628	0.000723	0.000028	0.016758	0.030929	0.049481	0.209963	0.024498	0.002412	0.000181	0.000718	0.038092	0.304844
##ji	0.250413	0.016965	0.012762	0.019230	0.036266	0.007024	0.062558	0.027753	0.015204	0.067889	0.009074	0.037429	0.013864	0.036209	0.079063	0.308297
are	0.186933	0.096702	0.013220	0.021401	0.059998	0.110199	0.038447	0.002484	0.000407	0.000363	0.003659	0.048464	0.099248	0.117897	0.066014	0.134564
still	0.106066	0.032379	0.008138	0.015525	0.119500	0.017135	0.022510	0.000923	0.000392	0.000075	0.000127	0.013118	0.054276	0.270758	0.056705	0.282374
remaining	0.014696	0.014684	0.003367	0.004579	0.272016	0.498008	0.013586	0.000377	0.000091	0.000062	0.000101	0.028537	0.059918	0.021589	0.012418	0.055972
.	0.710419	0.008577	0.009054	0.015194	0.008149	0.012956	0.009504	0.004945	0.001829	0.003497	0.004527	0.010411	0.008230	0.011891	0.046785	0.134032
[SEP]	0.763430	0.002379	0.004861	0.008302	0.001257	0.002446	0.006761	0.004516	0.000802	0.003220	0.001663	0.004682	0.001803	0.003718	0.047373	0.142788
