TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.530339	0.006932	0.017538	0.026538	0.013145	0.021055	0.069944	0.010950	0.002554	0.002334	0.009527	0.067043	0.003054	0.011563	0.114173	0.093312
None	0.000000	0.000001	0.999996	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
of	0.000002	0.000006	0.000048	0.999732	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000211
the	0.000000	0.000000	0.000000	0.000010	0.999987	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
original	0.000000	0.000000	0.000000	0.000000	0.000005	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
buildings	0.000015	0.000002	0.000003	0.000000	0.000000	0.000026	0.999905	0.000000	0.000000	0.000002	0.000004	0.000001	0.000000	0.000000	0.000000	0.000042
in	0.000009	0.000000	0.000000	0.000316	0.000003	0.000003	0.000775	0.998670	0.000009	0.000000	0.000000	0.000008	0.000000	0.000000	0.000000	0.000206
En	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001
##ga	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
##ku	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.999993	0.000001	0.000000	0.000000	0.000000	0.000000
##ji	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000001	0.999990	0.000000	0.000000	0.000001	0.000006
are	0.000005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000005	0.000001	0.000000	0.000479	0.999364	0.000040	0.000010	0.000094
still	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000001	0.000000	0.000002	0.000758	0.999221	0.000008	0.000006
remaining	0.000022	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.999952	0.000025
.	0.102574	0.000000	0.000000	0.000094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000127	0.000002	0.000000	0.002437	0.894767
[SEP]	0.843785	0.000172	0.001203	0.003539	0.009031	0.008003	0.002860	0.000537	0.000425	0.000399	0.000028	0.022588	0.005576	0.000686	0.035501	0.065669
