TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.084408	0.003303	0.002515	0.006275	0.012607	0.022554	0.016162	0.012311	0.012706	0.021398	0.048240	0.045853	0.007137	0.013946	0.055567	0.635018
None	0.020409	0.002423	0.003460	0.008892	0.000573	0.000840	0.005883	0.000443	0.000301	0.002562	0.003115	0.002849	0.000189	0.000928	0.128820	0.818314
of	0.018614	0.001539	0.001332	0.007816	0.001653	0.001651	0.005231	0.000416	0.000182	0.000506	0.001728	0.000917	0.000183	0.001375	0.126637	0.830221
the	0.064028	0.005826	0.006738	0.014597	0.011180	0.012560	0.028045	0.003656	0.003600	0.007528	0.014708	0.002950	0.002040	0.013635	0.161460	0.647449
original	0.106199	0.005100	0.004350	0.011814	0.009439	0.005248	0.011589	0.003171	0.001345	0.006968	0.013469	0.002938	0.002866	0.007216	0.080751	0.727537
buildings	0.324382	0.023258	0.015595	0.022679	0.089250	0.089877	0.051699	0.007522	0.006164	0.002532	0.012209	0.009197	0.032766	0.049383	0.050558	0.212931
in	0.090510	0.003444	0.006232	0.018265	0.091986	0.138410	0.039522	0.008706	0.014819	0.015929	0.058324	0.017329	0.012904	0.061568	0.137958	0.284096
En	0.235700	0.004644	0.018605	0.034479	0.006865	0.022543	0.041704	0.012220	0.135671	0.041396	0.123203	0.007514	0.009713	0.002082	0.095444	0.208217
##ga	0.243105	0.004673	0.012514	0.020394	0.005703	0.012627	0.040756	0.011041	0.027070	0.068201	0.071129	0.010239	0.007999	0.005133	0.062609	0.396806
##ku	0.287271	0.002300	0.006816	0.016504	0.007713	0.010606	0.023441	0.009150	0.089339	0.027030	0.213288	0.007193	0.003227	0.002420	0.043191	0.250512
##ji	0.185521	0.001655	0.008169	0.021120	0.021138	0.093470	0.030522	0.038949	0.034805	0.339427	0.104027	0.014588	0.010429	0.007394	0.037401	0.051384
are	0.239974	0.037600	0.012333	0.033176	0.055467	0.026859	0.026892	0.008637	0.004789	0.001748	0.009912	0.089036	0.007712	0.010450	0.097713	0.337703
still	0.024449	0.000676	0.001953	0.004078	0.001049	0.000618	0.002205	0.000173	0.000034	0.000138	0.000577	0.002956	0.000185	0.001870	0.076637	0.882403
remaining	0.044745	0.001919	0.001612	0.006256	0.002093	0.000863	0.004023	0.000275	0.000141	0.000776	0.002802	0.000694	0.000268	0.001050	0.063271	0.869209
.	0.062018	0.002197	0.005168	0.018497	0.004966	0.005777	0.013070	0.005745	0.001163	0.003171	0.005043	0.002915	0.005379	0.009613	0.215613	0.639665
[SEP]	0.012253	0.005762	0.003344	0.005153	0.000608	0.002570	0.010135	0.003835	0.000695	0.004739	0.002971	0.003223	0.000446	0.001279	0.031932	0.911056
