TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.032332	0.004356	0.003831	0.008097	0.012443	0.030297	0.022648	0.031055	0.044306	0.026464	0.044766	0.007714	0.002398	0.003843	0.343691	0.381760
None	0.005556	0.004884	0.001986	0.003575	0.003288	0.004841	0.007887	0.006418	0.003594	0.004883	0.013524	0.005039	0.001415	0.000969	0.427792	0.504348
of	0.004464	0.007402	0.002578	0.006508	0.005872	0.007199	0.020003	0.026392	0.009171	0.022356	0.057266	0.006737	0.002719	0.002077	0.373318	0.445937
the	0.004091	0.004224	0.001917	0.005368	0.006354	0.010457	0.015939	0.018847	0.006494	0.017070	0.050065	0.003619	0.002300	0.002031	0.385400	0.465823
original	0.008183	0.006846	0.002309	0.007691	0.009655	0.018222	0.021655	0.024024	0.005108	0.027236	0.048174	0.009467	0.005095	0.004123	0.365890	0.436322
buildings	0.007388	0.006259	0.002775	0.008322	0.009602	0.017711	0.024704	0.027072	0.008079	0.019506	0.046598	0.005687	0.003783	0.002787	0.372437	0.437291
in	0.007044	0.010423	0.003102	0.005914	0.005299	0.011661	0.009733	0.011031	0.002217	0.010786	0.029945	0.008182	0.003522	0.002275	0.404273	0.474592
En	0.006339	0.006160	0.001403	0.003269	0.003448	0.010238	0.005271	0.005928	0.002306	0.004491	0.012321	0.003936	0.002186	0.001698	0.419021	0.511987
##ga	0.002672	0.002464	0.000289	0.000909	0.000689	0.003883	0.002061	0.001713	0.000338	0.001142	0.003557	0.001485	0.000836	0.000492	0.428714	0.548757
##ku	0.005137	0.003529	0.000748	0.001958	0.001618	0.005105	0.003317	0.002730	0.000628	0.001642	0.005518	0.003854	0.001302	0.000726	0.428241	0.533947
##ji	0.011658	0.008125	0.001370	0.003317	0.003941	0.014173	0.008025	0.010047	0.003721	0.007737	0.016403	0.005603	0.003394	0.002132	0.411675	0.488679
are	0.009996	0.005786	0.002592	0.005584	0.006202	0.017409	0.016328	0.019283	0.006064	0.013721	0.041471	0.007408	0.003935	0.004271	0.383494	0.456455
still	0.011275	0.008644	0.003296	0.009222	0.010117	0.013460	0.038088	0.031729	0.013434	0.035166	0.070757	0.008494	0.005225	0.005873	0.339008	0.396212
remaining	0.008723	0.006687	0.002741	0.007025	0.008352	0.012387	0.030067	0.025135	0.006384	0.020452	0.049721	0.005988	0.002926	0.002694	0.371814	0.438904
.	0.064644	0.056410	0.046619	0.052804	0.045892	0.059698	0.062444	0.069171	0.076218	0.066299	0.068174	0.052090	0.045771	0.041500	0.095544	0.096723
[SEP]	0.066238	0.056675	0.048514	0.054408	0.047693	0.060847	0.062149	0.069865	0.078338	0.067299	0.067065	0.053382	0.047090	0.042944	0.088401	0.089093
