TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.041231	0.075619	0.052222	0.026773	0.033268	0.029827	0.037730	0.325931	0.027012	0.094566	0.119017	0.096576	0.040226
None	0.192389	0.000371	0.099324	0.001965	0.011348	0.003971	0.010356	0.000415	0.001810	0.000711	0.000586	0.460777	0.215976
of	0.143837	0.001369	0.176851	0.005021	0.011851	0.007040	0.005420	0.001181	0.003482	0.009266	0.002010	0.437787	0.194885
it	0.198145	0.001817	0.135010	0.003980	0.019570	0.006446	0.004306	0.000465	0.003026	0.002428	0.001056	0.360870	0.262881
is	0.138747	0.007896	0.192346	0.010003	0.303719	0.007578	0.019758	0.004134	0.002441	0.014704	0.001552	0.152644	0.144476
di	0.236569	0.004656	0.108704	0.001231	0.021211	0.002117	0.003505	0.000925	0.000975	0.000743	0.000446	0.362855	0.256062
##v	0.328713	0.003593	0.043020	0.003518	0.025304	0.015376	0.001368	0.000769	0.000545	0.001869	0.000846	0.139055	0.436025
##vied	0.293886	0.001544	0.058875	0.001850	0.004720	0.006638	0.003756	0.000090	0.002389	0.001349	0.001717	0.283528	0.339657
up	0.277163	0.002071	0.081126	0.003813	0.006485	0.009624	0.003429	0.000411	0.002057	0.004314	0.003008	0.301548	0.304951
among	0.207856	0.002202	0.179941	0.010745	0.011304	0.004846	0.003787	0.000966	0.003054	0.004763	0.004975	0.374023	0.191538
anything	0.215660	0.000471	0.103216	0.003716	0.031510	0.006758	0.005342	0.000493	0.000868	0.002580	0.000236	0.322927	0.306224
.	0.044155	0.056407	0.051042	0.039558	0.032301	0.025852	0.047670	0.281930	0.034736	0.112518	0.131099	0.092242	0.050490
[SEP]	0.322594	0.008863	0.020716	0.009572	0.019765	0.007370	0.004630	0.028526	0.014042	0.033557	0.017730	0.075226	0.437410
