TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.022373	0.119305	0.046353	0.105567	0.290633	0.043446	0.012207	0.039862	0.038369	0.044657	0.035414	0.088301	0.113514
None	0.048890	0.041168	0.029489	0.056552	0.039808	0.019873	0.002134	0.009313	0.020191	0.029401	0.012968	0.083018	0.607194
of	0.055309	0.071902	0.005364	0.037374	0.023888	0.010621	0.007871	0.028781	0.013387	0.037261	0.028695	0.062819	0.616728
it	0.095553	0.093175	0.021166	0.023379	0.065547	0.012470	0.007118	0.049791	0.019695	0.075482	0.011329	0.094224	0.431070
is	0.242786	0.023665	0.018640	0.072506	0.036565	0.028807	0.003044	0.056739	0.013533	0.043705	0.013354	0.324642	0.122014
di	0.124198	0.067605	0.005782	0.056160	0.107784	0.009320	0.017978	0.017845	0.015201	0.020106	0.012304	0.144251	0.401466
##v	0.054619	0.012584	0.002464	0.004738	0.002599	0.002147	0.000252	0.003354	0.002767	0.004822	0.005138	0.023577	0.880938
##vied	0.037814	0.045686	0.023855	0.053901	0.048977	0.002315	0.002099	0.002865	0.012736	0.014769	0.012925	0.045945	0.696114
up	0.069245	0.069746	0.017850	0.036083	0.034466	0.009000	0.006606	0.026834	0.007262	0.025407	0.024219	0.056637	0.616644
among	0.035676	0.016975	0.004670	0.008184	0.016953	0.002543	0.002322	0.002925	0.006307	0.002915	0.003742	0.032161	0.864627
anything	0.070237	0.013801	0.009028	0.008785	0.023898	0.006199	0.005646	0.011003	0.006326	0.009483	0.001841	0.068688	0.765066
.	0.207383	0.022122	0.011723	0.025641	0.043670	0.008417	0.007116	0.010247	0.004782	0.008425	0.007771	0.126921	0.515783
[SEP]	0.014034	0.001972	0.000243	0.000757	0.002969	0.000447	0.000838	0.000699	0.000576	0.001307	0.001682	0.006999	0.967477
