TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.132258	0.000889	0.000743	0.002334	0.001615	0.000347	0.000832	0.000028	0.000036	0.000525	0.000203	0.065253	0.794937
None	0.009711	0.000104	0.000049	0.000054	0.000028	0.000001	0.000000	0.000000	0.000000	0.000004	0.000000	0.006291	0.983758
of	0.000019	0.993429	0.002134	0.001179	0.000007	0.000002	0.000000	0.000000	0.000001	0.000000	0.000015	0.000004	0.003210
it	0.001346	0.003106	0.961545	0.004441	0.000047	0.000005	0.000002	0.000003	0.000001	0.000019	0.000006	0.000157	0.029322
is	0.000167	0.006563	0.000806	0.986390	0.002534	0.000073	0.000021	0.000002	0.000195	0.000001	0.000017	0.000006	0.003225
di	0.001885	0.000631	0.000025	0.018398	0.935009	0.003467	0.000012	0.010136	0.003348	0.000500	0.000058	0.000131	0.026401
##v	0.000001	0.000000	0.000000	0.000000	0.000003	0.999987	0.000003	0.000000	0.000000	0.000001	0.000000	0.000000	0.000006
##vied	0.000022	0.000000	0.000000	0.000093	0.076203	0.005927	0.917241	0.000253	0.000090	0.000002	0.000003	0.000001	0.000164
up	0.000012	0.000000	0.000000	0.000083	0.000467	0.000003	0.000005	0.998336	0.000362	0.000060	0.000051	0.000006	0.000615
among	0.000191	0.000003	0.000000	0.000381	0.000347	0.000001	0.000155	0.013989	0.968746	0.000039	0.000715	0.000057	0.015375
anything	0.000121	0.000001	0.000007	0.000003	0.000031	0.000029	0.000003	0.000374	0.000571	0.996420	0.000261	0.000190	0.001989
.	0.006574	0.000103	0.000034	0.000864	0.000067	0.000223	0.000186	0.000257	0.000839	0.004972	0.734275	0.029745	0.221860
[SEP]	0.477765	0.013876	0.021450	0.012408	0.013756	0.029277	0.010103	0.005545	0.008920	0.015522	0.008600	0.031244	0.351534
