TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.051063	0.017403	0.002172	0.012405	0.011087	0.008786	0.002582	0.017119	0.004741	0.015286	0.005700	0.016599	0.835056
None	0.030649	0.012994	0.019767	0.306923	0.216403	0.067233	0.034275	0.028343	0.044090	0.087330	0.009976	0.090537	0.051481
of	0.067511	0.041119	0.021700	0.118843	0.244957	0.057477	0.014613	0.033266	0.050719	0.045905	0.012058	0.029782	0.262047
it	0.045297	0.097923	0.022692	0.037786	0.014044	0.071159	0.028463	0.170895	0.078124	0.121205	0.050636	0.068138	0.193636
is	0.047506	0.019732	0.005301	0.050804	0.026713	0.031141	0.053716	0.255194	0.090263	0.045660	0.106481	0.205877	0.061610
di	0.008370	0.023050	0.002068	0.007272	0.006275	0.005103	0.028440	0.082008	0.039582	0.613192	0.008345	0.078106	0.098189
##v	0.020391	0.007098	0.000955	0.009575	0.025659	0.044218	0.008267	0.182535	0.020720	0.208810	0.039361	0.121089	0.311321
##vied	0.025839	0.024877	0.003269	0.021646	0.015720	0.042926	0.056798	0.019136	0.026958	0.372770	0.071710	0.158973	0.159378
up	0.024518	0.054798	0.002609	0.005859	0.006618	0.026754	0.019379	0.117849	0.007440	0.367754	0.104357	0.107305	0.154761
among	0.044005	0.010007	0.000842	0.012503	0.003160	0.008220	0.004809	0.018228	0.044446	0.003386	0.665632	0.081617	0.103146
anything	0.061555	0.030314	0.010172	0.015998	0.003579	0.006442	0.018505	0.029200	0.010363	0.153208	0.003189	0.224231	0.433245
.	0.029124	0.032818	0.007037	0.019959	0.009652	0.010712	0.005624	0.011270	0.010930	0.029080	0.032580	0.061942	0.739273
[SEP]	0.008078	0.008760	0.000765	0.004821	0.001268	0.001863	0.004308	0.002617	0.002787	0.017769	0.006686	0.010307	0.929972
