TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.036483	0.003293	0.005596	0.011736	0.001961	0.000312	0.000310	0.001834	0.001754	0.004224	0.000830	0.033839	0.897827
None	0.015895	0.026549	0.008490	0.029642	0.018464	0.002307	0.003745	0.016288	0.004639	0.013157	0.020433	0.044671	0.795720
of	0.046581	0.028334	0.007009	0.040470	0.023336	0.004813	0.006053	0.044742	0.019490	0.010685	0.010839	0.041552	0.716094
it	0.042922	0.018494	0.020356	0.038828	0.035367	0.001969	0.002446	0.062809	0.015612	0.014665	0.021598	0.074743	0.650192
is	0.062692	0.202970	0.049352	0.036457	0.010838	0.002500	0.001016	0.013194	0.006163	0.019169	0.027202	0.052828	0.515620
di	0.010100	0.148550	0.033986	0.085377	0.186971	0.005873	0.001288	0.038918	0.008261	0.064831	0.064058	0.037783	0.314005
##v	0.006933	0.016647	0.004253	0.026578	0.030766	0.002943	0.002496	0.011822	0.012465	0.004485	0.010475	0.024886	0.845251
##vied	0.022321	0.229288	0.053410	0.191883	0.049945	0.004967	0.001748	0.030466	0.004413	0.029654	0.031430	0.033736	0.316739
up	0.010721	0.136032	0.083859	0.230316	0.177033	0.010178	0.001608	0.055320	0.009131	0.047168	0.026354	0.028338	0.183943
among	0.016810	0.081949	0.008595	0.091938	0.069267	0.047301	0.007247	0.086615	0.048109	0.022771	0.040718	0.015837	0.462844
anything	0.045370	0.398386	0.006249	0.015589	0.051764	0.017814	0.002863	0.016960	0.018762	0.066678	0.013470	0.025644	0.320451
.	0.060309	0.035724	0.006849	0.028083	0.016427	0.005304	0.004148	0.009249	0.008195	0.066523	0.019339	0.135675	0.604175
[SEP]	0.004782	0.000952	0.000684	0.001850	0.002314	0.000521	0.000351	0.000998	0.001050	0.000385	0.000992	0.004549	0.980572
