TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.563421	0.023257	0.011261	0.014076	0.004296	0.012979	0.008016	0.012251	0.009257	0.016580	0.003926	0.030306	0.290373
None	0.059161	0.038310	0.024027	0.013216	0.045825	0.060622	0.119043	0.063828	0.191371	0.195795	0.012159	0.029270	0.147372
of	0.088082	0.065613	0.062071	0.060985	0.090111	0.071403	0.069370	0.037054	0.142748	0.119229	0.043656	0.057778	0.091901
it	0.081609	0.073770	0.050465	0.093083	0.069272	0.039492	0.039371	0.026992	0.225284	0.086680	0.059526	0.062130	0.092325
is	0.082180	0.060359	0.047892	0.074389	0.287576	0.027340	0.047379	0.017440	0.105995	0.067169	0.047877	0.047241	0.087163
di	0.163696	0.100045	0.043218	0.083521	0.060507	0.032048	0.050468	0.033553	0.122692	0.083247	0.081260	0.110245	0.035500
##v	0.063304	0.260340	0.028425	0.057521	0.028940	0.086388	0.075267	0.079289	0.029863	0.082766	0.151685	0.038639	0.017574
##vied	0.163459	0.054482	0.069050	0.166079	0.090863	0.018291	0.096402	0.038225	0.097925	0.036210	0.075643	0.082526	0.010844
up	0.182814	0.062693	0.044771	0.040770	0.059003	0.075750	0.086628	0.034410	0.062825	0.101249	0.037317	0.029559	0.182210
among	0.029135	0.406622	0.026330	0.057623	0.007765	0.086596	0.027218	0.048721	0.076200	0.040939	0.090586	0.058069	0.044198
anything	0.082456	0.084364	0.044181	0.086503	0.058284	0.039138	0.077336	0.040639	0.211141	0.075045	0.042790	0.067083	0.091040
.	0.075857	0.060477	0.043185	0.037856	0.033180	0.073574	0.047594	0.050715	0.104120	0.241701	0.020076	0.033026	0.178638
[SEP]	0.194076	0.012458	0.003990	0.002909	0.007964	0.007358	0.004679	0.012932	0.005656	0.012048	0.000519	0.001227	0.734184
