TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.004495	0.032118	0.038994	0.087664	0.324945	0.034823	0.041129	0.078429	0.031822	0.157754	0.127660	0.034473	0.005696
None	0.058337	0.144270	0.082651	0.070958	0.021557	0.036767	0.015016	0.016062	0.006594	0.037000	0.076090	0.056934	0.377765
of	0.078698	0.014260	0.027174	0.042417	0.006400	0.002533	0.002364	0.007524	0.002859	0.006296	0.002680	0.038430	0.768366
it	0.269019	0.174109	0.063367	0.025597	0.007935	0.007357	0.001693	0.005603	0.013978	0.049596	0.006318	0.058013	0.317414
is	0.083708	0.437026	0.055173	0.017699	0.022378	0.006735	0.008149	0.086623	0.012427	0.023437	0.020983	0.093162	0.132500
di	0.157428	0.049135	0.027670	0.024602	0.017409	0.004612	0.005207	0.007482	0.002689	0.013020	0.006268	0.110435	0.574043
##v	0.065173	0.064626	0.023246	0.006848	0.007455	0.005063	0.002716	0.001068	0.001337	0.005827	0.015636	0.060776	0.740229
##vied	0.047997	0.016585	0.005957	0.005050	0.136173	0.010781	0.005779	0.000044	0.002240	0.008756	0.005695	0.084150	0.670794
up	0.073456	0.179329	0.056490	0.031203	0.010252	0.008297	0.011626	0.016395	0.015668	0.031971	0.030202	0.064263	0.470847
among	0.030251	0.156610	0.068781	0.028782	0.004317	0.005465	0.005481	0.026445	0.004854	0.005646	0.012656	0.037707	0.613009
anything	0.052306	0.137184	0.024075	0.051719	0.017633	0.022549	0.019713	0.048619	0.019802	0.013116	0.008766	0.036890	0.547627
.	0.041399	0.108149	0.035618	0.053757	0.111946	0.037697	0.058528	0.196284	0.077274	0.058164	0.034667	0.073272	0.113244
[SEP]	0.012078	0.001993	0.009263	0.002792	0.001025	0.002027	0.004120	0.001663	0.001096	0.004953	0.001704	0.002589	0.954696
