TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.178974	0.075769	0.057894	0.022065	0.195780	0.021501	0.026991	0.127566	0.056833	0.027303	0.056175	0.135786	0.017363
None	0.196270	0.150224	0.126221	0.009958	0.040964	0.008253	0.070124	0.075828	0.084692	0.056876	0.012745	0.081591	0.086255
of	0.392899	0.079154	0.049979	0.017414	0.034085	0.023298	0.030718	0.024119	0.013601	0.022589	0.025990	0.106607	0.179547
it	0.060034	0.207860	0.012276	0.209507	0.079518	0.034702	0.015005	0.215373	0.013018	0.004724	0.060599	0.057428	0.029956
is	0.141156	0.241328	0.023131	0.031045	0.021669	0.030416	0.024204	0.173919	0.059759	0.059999	0.055717	0.106320	0.031335
di	0.287075	0.003419	0.010364	0.009301	0.008235	0.010847	0.021033	0.012713	0.004863	0.010120	0.006617	0.031076	0.584337
##v	0.344038	0.005833	0.012284	0.002514	0.022854	0.013683	0.002922	0.005935	0.002216	0.005260	0.003691	0.044933	0.533836
##vied	0.108725	0.002302	0.011221	0.005962	0.710137	0.005929	0.014692	0.007545	0.013489	0.018042	0.002903	0.037205	0.061847
up	0.168476	0.044511	0.046207	0.050363	0.055330	0.034224	0.004505	0.042682	0.029932	0.211930	0.077501	0.079899	0.154441
among	0.263931	0.049307	0.046986	0.012182	0.043727	0.016159	0.074742	0.027400	0.072771	0.015610	0.022628	0.083076	0.271479
anything	0.117761	0.183430	0.096425	0.031754	0.084187	0.023502	0.020341	0.131749	0.042447	0.054012	0.061556	0.102452	0.050384
.	0.111667	0.116819	0.038549	0.034770	0.106854	0.038876	0.036996	0.124196	0.101522	0.032892	0.112597	0.110128	0.034134
[SEP]	0.211586	0.002749	0.009401	0.005327	0.005789	0.003429	0.005301	0.002101	0.001193	0.004498	0.005329	0.015084	0.728213
