TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.001313	0.185505	0.016562	0.047802	0.051255	0.006195	0.001877	0.005379	0.024025	0.015850	0.068749	0.571086	0.004403
None	0.020864	0.020115	0.002978	0.014916	0.027474	0.002401	0.001940	0.001820	0.001395	0.000665	0.005112	0.066655	0.833665
of	0.015815	0.306986	0.018793	0.028973	0.032063	0.009108	0.008148	0.007436	0.003521	0.003027	0.018300	0.083732	0.464099
it	0.018748	0.293943	0.050020	0.085210	0.054429	0.008288	0.003614	0.009713	0.005051	0.005298	0.018616	0.098532	0.348539
is	0.023734	0.149924	0.018012	0.044858	0.030367	0.009137	0.003534	0.004834	0.006775	0.001193	0.020242	0.123202	0.564187
di	0.012843	0.026299	0.003639	0.011279	0.072215	0.004894	0.002788	0.007031	0.017867	0.004437	0.021153	0.056714	0.758841
##v	0.008258	0.009243	0.004327	0.012091	0.038359	0.016731	0.007187	0.034089	0.042088	0.006671	0.015131	0.025632	0.780193
##vied	0.042276	0.100441	0.008119	0.026363	0.226455	0.039205	0.004117	0.016318	0.059483	0.003826	0.019782	0.083516	0.370100
up	0.055141	0.090909	0.004900	0.008627	0.079777	0.028966	0.005564	0.010593	0.016938	0.002565	0.015104	0.072307	0.608611
among	0.025622	0.058564	0.015380	0.019617	0.114113	0.055460	0.005399	0.053586	0.120348	0.018568	0.054867	0.061403	0.397072
anything	0.045981	0.070534	0.016096	0.012861	0.079669	0.022669	0.004542	0.006798	0.010516	0.040901	0.036028	0.086976	0.566429
.	0.021501	0.055020	0.008328	0.029040	0.058813	0.013040	0.005097	0.004243	0.019804	0.019070	0.050292	0.094999	0.620752
[SEP]	0.037264	0.016148	0.011356	0.025924	0.025176	0.013585	0.015205	0.014526	0.021223	0.022483	0.034623	0.032856	0.729630
