TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.010476	0.148823	0.019344	0.103630	0.308666	0.031654	0.008914	0.070313	0.029588	0.029901	0.113651	0.088922	0.036117
None	0.081076	0.005679	0.008745	0.035652	0.034720	0.002656	0.003300	0.010257	0.007602	0.028708	0.040671	0.008117	0.732818
of	0.080837	0.007646	0.020117	0.079775	0.038173	0.003160	0.005279	0.024289	0.013970	0.080046	0.065399	0.007872	0.573437
it	0.101532	0.004588	0.009315	0.061029	0.035240	0.005553	0.004991	0.015363	0.015472	0.086891	0.057691	0.007242	0.595093
is	0.161963	0.002347	0.002756	0.016026	0.100341	0.021729	0.011427	0.018621	0.028436	0.049251	0.033424	0.022960	0.530719
di	0.024383	0.001005	0.000825	0.004373	0.012833	0.001490	0.002385	0.003391	0.003850	0.049323	0.020025	0.005619	0.870498
##v	0.001163	0.001542	0.003690	0.005038	0.003671	0.001479	0.002290	0.005186	0.007594	0.041780	0.012290	0.001104	0.913172
##vied	0.023692	0.003575	0.006687	0.030072	0.015947	0.005701	0.007602	0.032247	0.019650	0.245694	0.028953	0.005060	0.575122
up	0.021948	0.001313	0.002205	0.006489	0.010125	0.005958	0.006258	0.013561	0.014152	0.243680	0.046954	0.005874	0.621482
among	0.014006	0.002708	0.002566	0.007015	0.006560	0.003435	0.005937	0.009913	0.019972	0.068764	0.063266	0.008718	0.787139
anything	0.027279	0.001723	0.001424	0.006373	0.006686	0.002672	0.001645	0.004124	0.006351	0.034634	0.048102	0.003879	0.855108
.	0.062634	0.003683	0.000647	0.004303	0.071771	0.010710	0.003760	0.005083	0.007009	0.013004	0.022802	0.018441	0.776152
[SEP]	0.001880	0.001509	0.000722	0.000919	0.002440	0.000685	0.001747	0.000899	0.001471	0.003741	0.003870	0.001287	0.978830
