TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.001210	0.040148	0.069354	0.167343	0.110858	0.009712	0.001308	0.057914	0.071416	0.169507	0.177183	0.025875	0.098171
None	0.077453	0.027240	0.023707	0.034139	0.006942	0.005958	0.000959	0.005606	0.011357	0.023138	0.010048	0.016441	0.757011
of	0.061884	0.016329	0.124042	0.282581	0.003166	0.001779	0.000605	0.011285	0.010767	0.020203	0.013444	0.009627	0.444289
it	0.009330	0.007639	0.035590	0.836275	0.002071	0.001071	0.000140	0.010064	0.007363	0.002958	0.010837	0.001013	0.075649
is	0.118843	0.012168	0.027889	0.050698	0.042084	0.015741	0.001552	0.021220	0.020943	0.031496	0.012976	0.025650	0.618739
di	0.095013	0.003143	0.000955	0.002355	0.006013	0.337960	0.033871	0.001377	0.006925	0.005826	0.001646	0.034300	0.470616
##v	0.006596	0.000247	0.000060	0.000194	0.000246	0.006027	0.635104	0.000079	0.000193	0.000060	0.000031	0.000632	0.350531
##vied	0.022772	0.006672	0.019539	0.106844	0.006329	0.002381	0.001024	0.162502	0.050239	0.011879	0.003023	0.001819	0.604977
up	0.063648	0.016635	0.014048	0.110374	0.015062	0.010967	0.001626	0.018656	0.104341	0.042992	0.031219	0.026933	0.543499
among	0.012079	0.001685	0.001760	0.008652	0.002571	0.017114	0.003375	0.004585	0.004932	0.351118	0.021643	0.006007	0.564478
anything	0.043783	0.005670	0.002783	0.030806	0.002297	0.004918	0.000716	0.002994	0.005852	0.086117	0.151819	0.009499	0.652746
.	0.053533	0.002642	0.007275	0.008900	0.005632	0.010761	0.003948	0.002417	0.007075	0.231728	0.028650	0.056494	0.580945
[SEP]	0.018067	0.005778	0.001760	0.003568	0.003564	0.012644	0.034758	0.000892	0.004056	0.003538	0.004988	0.016848	0.889538
