TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.236134	0.013970	0.012563	0.015842	0.044538	0.049893	0.034982	0.054661	0.060841	0.090010	0.032267	0.021229	0.333070
None	0.094171	0.003015	0.002170	0.005258	0.013916	0.014007	0.019381	0.015438	0.016994	0.062797	0.009681	0.059850	0.683322
of	0.119366	0.011532	0.002046	0.015118	0.015804	0.005450	0.006117	0.015980	0.008307	0.024799	0.012172	0.053625	0.709685
it	0.116148	0.026274	0.009711	0.011128	0.010922	0.004812	0.004186	0.015640	0.010755	0.040053	0.022202	0.072435	0.655734
is	0.012891	0.006710	0.001851	0.002793	0.002394	0.008186	0.003506	0.010795	0.007266	0.030705	0.010072	0.041194	0.861636
di	0.053923	0.011894	0.002008	0.005357	0.013350	0.004652	0.007569	0.010033	0.016132	0.032887	0.011221	0.066916	0.764058
##v	0.155104	0.019253	0.004216	0.012028	0.017109	0.015204	0.003193	0.021329	0.021530	0.025812	0.021559	0.102857	0.580807
##vied	0.053374	0.016046	0.007204	0.015004	0.019005	0.004576	0.002654	0.009308	0.007276	0.033758	0.018025	0.035688	0.778084
up	0.109058	0.040211	0.006092	0.014234	0.020746	0.008713	0.004947	0.013138	0.008200	0.032561	0.027779	0.058291	0.656030
among	0.107461	0.032385	0.019568	0.037835	0.035412	0.024355	0.008135	0.056963	0.041500	0.047234	0.027509	0.072379	0.489264
anything	0.083930	0.009665	0.008334	0.024193	0.018412	0.007181	0.007013	0.018745	0.014279	0.033172	0.017613	0.047862	0.709601
.	0.147718	0.065552	0.003712	0.016994	0.037985	0.030165	0.013186	0.010897	0.020568	0.038186	0.065233	0.155740	0.394065
[SEP]	0.212168	0.053956	0.020490	0.058227	0.068419	0.060131	0.059450	0.036675	0.042967	0.046711	0.053620	0.243616	0.043572
