TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.059121	0.023566	0.007562	0.080667	0.060020	0.003690	0.008200	0.008245	0.008505	0.016274	0.023606	0.019806	0.680739
None	0.012280	0.094194	0.027778	0.017402	0.055237	0.028694	0.002441	0.005101	0.022880	0.024589	0.018120	0.023327	0.667957
of	0.010011	0.016328	0.014561	0.008464	0.010879	0.002931	0.000541	0.002813	0.002622	0.001203	0.002447	0.008647	0.918551
it	0.019849	0.008970	0.034710	0.020758	0.008838	0.001228	0.001865	0.003418	0.004714	0.006529	0.044867	0.019936	0.824318
is	0.023038	0.023446	0.046261	0.074486	0.056116	0.006069	0.008132	0.008637	0.025727	0.027892	0.019552	0.038383	0.642261
di	0.014898	0.018629	0.046700	0.039354	0.042192	0.006310	0.001912	0.007106	0.014106	0.004509	0.001982	0.019237	0.783066
##v	0.004375	0.001125	0.000970	0.000798	0.001094	0.000195	0.000268	0.000247	0.000100	0.000104	0.000610	0.002862	0.987253
##vied	0.015306	0.007458	0.056153	0.021441	0.026691	0.002721	0.002131	0.001517	0.005438	0.002568	0.001860	0.020495	0.836222
up	0.013258	0.026356	0.093797	0.094736	0.017005	0.010669	0.002551	0.017910	0.016671	0.007898	0.001280	0.009964	0.687905
among	0.013574	0.019883	0.100255	0.093340	0.029707	0.033441	0.042208	0.070410	0.038302	0.032196	0.001292	0.008422	0.516970
anything	0.031685	0.079165	0.017919	0.030071	0.076652	0.025362	0.009917	0.003260	0.025360	0.014042	0.014849	0.007870	0.663849
.	0.033885	0.273002	0.031562	0.141119	0.172001	0.015349	0.008144	0.018736	0.017083	0.024665	0.072439	0.040081	0.151932
[SEP]	0.003384	0.000525	0.000457	0.001071	0.001825	0.000330	0.000230	0.000290	0.000481	0.000177	0.000181	0.001383	0.989666
