TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.092275	0.006153	0.008111	0.008373	0.015001	0.009322	0.003380	0.011198	0.007700	0.010054	0.009114	0.019636	0.799683
None	0.042089	0.003680	0.034696	0.012244	0.037765	0.014731	0.013983	0.024632	0.070144	0.007658	0.007533	0.057848	0.672997
of	0.050035	0.003113	0.006073	0.003050	0.007238	0.004141	0.002836	0.003935	0.009476	0.000870	0.001023	0.012885	0.895325
it	0.055631	0.071666	0.123350	0.084271	0.155341	0.044534	0.036519	0.065667	0.074765	0.028711	0.019583	0.055153	0.184809
is	0.093171	0.139314	0.143648	0.078186	0.058272	0.028287	0.073632	0.012481	0.040214	0.019680	0.013867	0.064744	0.234505
di	0.108507	0.088378	0.042858	0.094518	0.151952	0.024118	0.025333	0.037376	0.034437	0.035210	0.022478	0.032137	0.302698
##v	0.121191	0.015667	0.037743	0.032915	0.106050	0.118959	0.006013	0.018589	0.010470	0.008820	0.008653	0.048061	0.466868
##vied	0.041690	0.024626	0.014844	0.084644	0.243249	0.316173	0.027323	0.004905	0.032873	0.055029	0.056375	0.017644	0.080627
up	0.042607	0.115921	0.037279	0.059397	0.291538	0.080661	0.073201	0.051342	0.046749	0.058267	0.036282	0.036668	0.070089
among	0.023077	0.016432	0.024685	0.048926	0.169663	0.056270	0.069557	0.191424	0.163508	0.049401	0.048888	0.031405	0.106764
anything	0.021365	0.035501	0.021000	0.022094	0.111048	0.010131	0.050004	0.176664	0.286921	0.180227	0.016352	0.032368	0.036324
.	0.104568	0.015369	0.011046	0.010520	0.057629	0.020456	0.028678	0.014354	0.050610	0.019915	0.018455	0.069716	0.578682
[SEP]	0.038609	0.001150	0.000881	0.000750	0.002317	0.001803	0.000359	0.000228	0.000825	0.000903	0.000509	0.007810	0.943855
