TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.047326	0.041176	0.044039	0.080383	0.032856	0.021792	0.025243	0.113078	0.016347	0.271792	0.035786	0.039795	0.230388
None	0.022676	0.013587	0.018181	0.013418	0.041980	0.006984	0.014103	0.030268	0.007408	0.066502	0.010177	0.031009	0.723706
of	0.006811	0.002313	0.003784	0.005615	0.010157	0.002891	0.010904	0.021714	0.005135	0.034164	0.004808	0.015755	0.875950
it	0.004373	0.002449	0.001385	0.002308	0.007829	0.001443	0.021213	0.004410	0.001108	0.008608	0.004309	0.016856	0.923707
is	0.018150	0.020522	0.009469	0.011576	0.020057	0.026377	0.098158	0.062748	0.011956	0.029434	0.019781	0.054552	0.617220
di	0.008070	0.011020	0.003016	0.003005	0.027049	0.018371	0.098894	0.031635	0.008419	0.019130	0.008282	0.023735	0.739375
##v	0.005623	0.013715	0.006762	0.009549	0.012308	0.016621	0.050659	0.027264	0.014070	0.009864	0.010200	0.011942	0.811424
##vied	0.003765	0.001493	0.001938	0.002147	0.008713	0.005907	0.044029	0.009650	0.021754	0.043971	0.001696	0.016045	0.838891
up	0.008867	0.010607	0.003323	0.004660	0.015928	0.012742	0.022342	0.055073	0.022001	0.061855	0.014472	0.027282	0.740846
among	0.010645	0.006073	0.004826	0.006508	0.019269	0.012483	0.038475	0.018070	0.009066	0.019741	0.036531	0.014787	0.803525
anything	0.007149	0.003058	0.005781	0.006828	0.010327	0.003701	0.004756	0.015951	0.002946	0.035323	0.011602	0.017545	0.875033
.	0.025763	0.037937	0.004550	0.010178	0.077744	0.015998	0.012873	0.012440	0.005165	0.014486	0.024800	0.053161	0.704906
[SEP]	0.060342	0.064507	0.072524	0.080156	0.064491	0.064052	0.076565	0.109916	0.060572	0.079206	0.096451	0.081853	0.089364
