TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.408075	0.004017	0.016028	0.007689	0.020081	0.010121	0.009643	0.012240	0.005328	0.009147	0.015175	0.046062	0.436395
None	0.035579	0.012229	0.131326	0.087958	0.127580	0.072651	0.029584	0.063894	0.108774	0.051442	0.194021	0.023851	0.061111
of	0.231285	0.021601	0.022537	0.027056	0.019337	0.012782	0.024682	0.019028	0.019980	0.034288	0.031312	0.052503	0.483609
it	0.039966	0.062692	0.113643	0.017576	0.039516	0.083723	0.034568	0.161099	0.029173	0.290082	0.041804	0.013823	0.072334
is	0.019061	0.175543	0.016817	0.057595	0.034862	0.037873	0.019644	0.151881	0.070097	0.173138	0.202118	0.008840	0.032531
di	0.276667	0.000651	0.013659	0.005410	0.010470	0.002290	0.023706	0.002556	0.004372	0.003738	0.010825	0.034089	0.611567
##v	0.421809	0.000425	0.008679	0.001241	0.001790	0.002469	0.001780	0.001734	0.002306	0.000364	0.002270	0.059581	0.495553
##vied	0.146256	0.016901	0.016109	0.046249	0.084487	0.135627	0.064450	0.011927	0.053801	0.027176	0.151126	0.062608	0.183282
up	0.061496	0.053124	0.034766	0.054555	0.092121	0.069297	0.072255	0.198259	0.038240	0.090749	0.105257	0.027677	0.102203
among	0.143459	0.049712	0.031864	0.038835	0.088028	0.023013	0.022679	0.035636	0.057397	0.029491	0.161816	0.087643	0.230427
anything	0.040954	0.050041	0.035314	0.055961	0.098772	0.068089	0.041083	0.234069	0.061967	0.147915	0.063266	0.027931	0.074638
.	0.256234	0.010676	0.053279	0.013845	0.032902	0.014418	0.031149	0.013417	0.017182	0.022035	0.044995	0.071060	0.418808
[SEP]	0.619741	0.000104	0.002608	0.000226	0.000853	0.000343	0.000444	0.000172	0.000367	0.000270	0.000194	0.129736	0.244942
