TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.013928	0.003142	0.000970	0.002699	0.084567	0.001472	0.001468	0.003070	0.000790	0.000854	0.001152	0.001916	0.883973
None	0.001339	0.008641	0.004236	0.009713	0.459494	0.016920	0.029431	0.038586	0.009843	0.011141	0.014149	0.011195	0.385312
of	0.003433	0.028856	0.009961	0.017161	0.174402	0.008284	0.065788	0.355401	0.038101	0.038418	0.015976	0.014717	0.229505
it	0.002895	0.035661	0.027282	0.012710	0.117292	0.004703	0.044909	0.571957	0.017653	0.048804	0.007947	0.004369	0.103817
is	0.007647	0.039463	0.012187	0.013469	0.094168	0.030357	0.013418	0.012491	0.017996	0.013654	0.055373	0.027726	0.662051
di	0.003721	0.017139	0.006155	0.011316	0.222845	0.017503	0.008535	0.053839	0.026274	0.011886	0.037296	0.011606	0.571885
##v	0.008501	0.007446	0.001446	0.005917	0.010648	0.040286	0.013897	0.013052	0.018763	0.007788	0.005407	0.021148	0.845700
##vied	0.015823	0.021737	0.010514	0.020417	0.024107	0.029037	0.044907	0.035853	0.041953	0.008089	0.050148	0.021857	0.675559
up	0.004490	0.022913	0.019172	0.014890	0.175143	0.011151	0.022881	0.276984	0.087040	0.014318	0.017865	0.016866	0.316286
among	0.003800	0.030701	0.012601	0.018993	0.031083	0.036627	0.007503	0.201718	0.280763	0.038452	0.009150	0.007035	0.321574
anything	0.003373	0.011737	0.001160	0.011798	0.312501	0.032436	0.024995	0.015757	0.007007	0.088818	0.010330	0.019447	0.460642
.	0.004581	0.008517	0.000891	0.010498	0.264472	0.002418	0.000906	0.002449	0.002159	0.002527	0.034862	0.007102	0.658616
[SEP]	0.143037	0.003621	0.002726	0.014190	0.012514	0.003771	0.004449	0.003150	0.003935	0.008019	0.018719	0.082089	0.699780
