TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.025212	0.019160	0.001992	0.012108	0.019001	0.001669	0.002501	0.002975	0.005667	0.004879	0.018644	0.018935	0.867256
None	0.096678	0.034900	0.009745	0.018086	0.029718	0.019304	0.008809	0.004244	0.012769	0.024746	0.031533	0.103180	0.606286
of	0.075202	0.013444	0.002902	0.011181	0.021014	0.003713	0.001472	0.000499	0.003781	0.006810	0.020979	0.099888	0.739115
it	0.140523	0.010888	0.002557	0.005328	0.041742	0.003244	0.002752	0.001392	0.007853	0.007025	0.018429	0.123539	0.634727
is	0.256959	0.022516	0.007411	0.031322	0.092135	0.011927	0.002426	0.004912	0.012281	0.011903	0.021497	0.094477	0.430233
di	0.072108	0.031711	0.007140	0.016960	0.052973	0.037615	0.006325	0.007890	0.041326	0.015573	0.025655	0.080189	0.604534
##v	0.036906	0.006671	0.001762	0.004070	0.006132	0.019265	0.004260	0.001703	0.008274	0.004292	0.009070	0.053901	0.843693
##vied	0.026771	0.002117	0.000297	0.001178	0.006989	0.004066	0.002274	0.002004	0.019796	0.014294	0.005261	0.049531	0.865420
up	0.031825	0.009122	0.002027	0.006559	0.018331	0.002858	0.000727	0.002140	0.024799	0.017065	0.023629	0.050665	0.810252
among	0.014408	0.009914	0.012570	0.025246	0.022480	0.003132	0.000930	0.005047	0.031454	0.023040	0.039938	0.027556	0.784285
anything	0.067007	0.008917	0.010338	0.015448	0.009129	0.002948	0.001772	0.002316	0.009809	0.008715	0.015974	0.067717	0.779911
.	0.080122	0.080570	0.026674	0.151002	0.085838	0.006812	0.006653	0.017382	0.017039	0.039326	0.147183	0.051819	0.289580
[SEP]	0.016659	0.005672	0.002629	0.004752	0.007961	0.009075	0.004987	0.003000	0.009396	0.007150	0.008300	0.007988	0.912431
