TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.024424	0.006473	0.008450	0.026723	0.016372	0.007226	0.023396	0.014589	0.013212	0.029817	0.008783	0.035164	0.785372
None	0.001739	0.002869	0.002895	0.006532	0.005206	0.001113	0.004761	0.002509	0.003572	0.014621	0.002502	0.007088	0.944591
of	0.001601	0.001603	0.003417	0.004231	0.001652	0.000481	0.004682	0.002778	0.001142	0.011160	0.001376	0.002621	0.963255
it	0.002081	0.002391	0.004197	0.005792	0.001860	0.000534	0.003671	0.004140	0.001320	0.009020	0.001693	0.003182	0.960118
is	0.002000	0.002410	0.006113	0.009322	0.006184	0.002729	0.008925	0.013351	0.006250	0.022991	0.004225	0.005998	0.909502
di	0.001112	0.001686	0.002459	0.004650	0.001968	0.000932	0.001272	0.003538	0.002988	0.011470	0.001758	0.003578	0.962589
##v	0.000419	0.000505	0.000933	0.001745	0.000450	0.000181	0.000266	0.000843	0.000712	0.001522	0.000563	0.000762	0.991098
##vied	0.001440	0.001473	0.002203	0.003701	0.002619	0.000458	0.001131	0.002930	0.001298	0.010317	0.001280	0.003578	0.967572
up	0.001701	0.001960	0.003040	0.006739	0.001523	0.000782	0.002463	0.005342	0.002233	0.007672	0.001036	0.003363	0.962147
among	0.005005	0.008262	0.008083	0.016440	0.003741	0.001563	0.002843	0.012862	0.006682	0.008202	0.002540	0.007976	0.915802
anything	0.002829	0.001107	0.003958	0.008421	0.003055	0.000610	0.001568	0.005819	0.002354	0.008731	0.002317	0.002366	0.956865
.	0.009148	0.010759	0.012926	0.024042	0.021283	0.005089	0.006464	0.014496	0.016660	0.027219	0.015615	0.016815	0.819484
[SEP]	0.069479	0.078052	0.076626	0.076863	0.081339	0.070783	0.078231	0.072785	0.072782	0.077940	0.065590	0.090449	0.089081
