TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.760249	0.020496	0.030605	0.016489	0.022989	0.009467	0.010570	0.019975	0.012965	0.009109	0.013754	0.034878	0.038453
None	0.094908	0.027549	0.047487	0.493576	0.254069	0.015096	0.022345	0.030804	0.001574	0.000297	0.004207	0.001859	0.006228
of	0.199667	0.032767	0.039139	0.093186	0.386109	0.114704	0.028978	0.074565	0.012382	0.003888	0.001422	0.001660	0.011532
it	0.167360	0.073074	0.038639	0.038556	0.257838	0.190365	0.137402	0.041335	0.019903	0.014355	0.011171	0.001734	0.008270
is	0.037719	0.013260	0.020321	0.022642	0.033293	0.123085	0.334717	0.326347	0.008121	0.037515	0.033452	0.004864	0.004665
di	0.056201	0.001332	0.002376	0.009943	0.021691	0.019884	0.052368	0.719460	0.062921	0.012660	0.030442	0.005719	0.005004
##v	0.683684	0.000885	0.000382	0.001055	0.012406	0.005259	0.010197	0.136311	0.108762	0.020881	0.004360	0.005089	0.010730
##vied	0.498559	0.003288	0.000468	0.000193	0.006167	0.004643	0.007197	0.014729	0.084225	0.184272	0.131523	0.024903	0.039833
up	0.111334	0.001000	0.000292	0.000395	0.000644	0.001269	0.031883	0.202319	0.020527	0.105460	0.427920	0.052422	0.044535
among	0.280399	0.000721	0.000484	0.000700	0.001021	0.000924	0.008959	0.110779	0.036222	0.012567	0.155998	0.226593	0.164633
anything	0.324362	0.000990	0.000400	0.001539	0.003636	0.000849	0.001859	0.010656	0.010778	0.027368	0.021905	0.165997	0.429662
.	0.604235	0.002622	0.000710	0.000151	0.000648	0.000598	0.000778	0.001684	0.000672	0.018738	0.024907	0.082659	0.261598
[SEP]	0.976299	0.000258	0.000651	0.000059	0.000069	0.000023	0.000128	0.000073	0.000024	0.000144	0.002454	0.005929	0.013889
