TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.127707	0.092513	0.016524	0.022206	0.287045	0.019214	0.035975	0.061204	0.046811	0.103557	0.040143	0.091633	0.055468
None	0.176248	0.030079	0.092843	0.033694	0.009540	0.033382	0.027931	0.004021	0.017148	0.015322	0.008852	0.144950	0.405990
of	0.260053	0.011291	0.213624	0.007534	0.002892	0.004509	0.002228	0.001818	0.003104	0.013927	0.003883	0.131652	0.343484
it	0.285844	0.005551	0.027986	0.047479	0.002398	0.006774	0.000688	0.000843	0.000790	0.005465	0.002413	0.125566	0.488204
is	0.293798	0.002912	0.024954	0.006559	0.008172	0.025180	0.004144	0.001015	0.003948	0.002536	0.001669	0.191058	0.434056
di	0.089080	0.008365	0.029336	0.004122	0.002497	0.022315	0.005475	0.004948	0.009208	0.008326	0.001435	0.062389	0.752503
##v	0.062927	0.002177	0.008604	0.004053	0.002826	0.002071	0.000484	0.003760	0.002801	0.003738	0.000719	0.061546	0.844295
##vied	0.082316	0.007381	0.003353	0.008181	0.082605	0.006162	0.004323	0.005382	0.008518	0.002614	0.006626	0.059547	0.722993
up	0.189912	0.003103	0.018806	0.008894	0.003186	0.009498	0.007707	0.000694	0.001747	0.006046	0.001120	0.100553	0.648734
among	0.186059	0.011419	0.033740	0.015438	0.002641	0.005381	0.007599	0.008023	0.013976	0.023082	0.005201	0.060058	0.627384
anything	0.192073	0.003993	0.010861	0.007808	0.004026	0.006898	0.003550	0.001551	0.001873	0.002497	0.001446	0.109161	0.654264
.	0.233602	0.019512	0.039883	0.020790	0.031196	0.031620	0.013914	0.017614	0.047906	0.054075	0.019698	0.240996	0.229194
[SEP]	0.035565	0.011887	0.006449	0.008425	0.013465	0.013483	0.007873	0.038399	0.028362	0.021990	0.015765	0.010495	0.787841
