TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.209515	0.008716	0.035277	0.010759	0.030722	0.007301	0.002465	0.006568	0.013448	0.013401	0.004024	0.050911	0.606894
None	0.260112	0.109760	0.003357	0.000030	0.000243	0.000189	0.000028	0.000073	0.000122	0.001711	0.004223	0.009532	0.610621
of	0.255208	0.000257	0.091599	0.000322	0.000302	0.000021	0.000015	0.000111	0.000169	0.000188	0.000080	0.003610	0.648119
it	0.305006	0.000777	0.009880	0.340762	0.042490	0.000058	0.000007	0.000013	0.000072	0.000048	0.000640	0.009696	0.290550
is	0.259559	0.004991	0.006869	0.020152	0.290947	0.000062	0.000027	0.000006	0.000216	0.000035	0.000081	0.009218	0.407838
di	0.416187	0.012888	0.011913	0.000532	0.000987	0.282305	0.000156	0.000017	0.000021	0.000003	0.000024	0.003801	0.271165
##v	0.315024	0.014020	0.011601	0.000734	0.001634	0.003228	0.417727	0.000449	0.000201	0.000034	0.000047	0.007097	0.228205
##vied	0.428655	0.000556	0.010937	0.000111	0.000083	0.000194	0.001096	0.028246	0.000040	0.000079	0.000026	0.002648	0.527330
up	0.231946	0.001668	0.011604	0.000947	0.004010	0.000100	0.000204	0.000078	0.490884	0.000134	0.000019	0.001978	0.256429
among	0.424348	0.044689	0.038808	0.002674	0.001709	0.000096	0.000126	0.001193	0.001853	0.073344	0.000379	0.003017	0.407763
anything	0.199967	0.042318	0.008842	0.008110	0.005838	0.001343	0.000100	0.000427	0.000774	0.000336	0.634797	0.005090	0.092059
.	0.292568	0.040118	0.024981	0.046845	0.135036	0.028313	0.007656	0.005533	0.014742	0.005932	0.003278	0.034513	0.360485
[SEP]	0.256588	0.022025	0.080056	0.022611	0.044378	0.011258	0.007992	0.016603	0.017706	0.014969	0.003572	0.038276	0.463964
