TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.026406	0.009067	0.005822	0.013339	0.035021	0.004544	0.002694	0.008114	0.004786	0.010639	0.011930	0.014617	0.853023
None	0.008166	0.122201	0.013957	0.012709	0.051500	0.022461	0.002342	0.002925	0.022645	0.017476	0.015037	0.013800	0.694779
of	0.035307	0.081581	0.110890	0.086977	0.062607	0.029527	0.010991	0.013763	0.045731	0.065292	0.046147	0.020568	0.390619
it	0.019062	0.021602	0.022931	0.080699	0.034348	0.010964	0.005866	0.008087	0.019738	0.023985	0.044742	0.009658	0.698318
is	0.023964	0.020586	0.011731	0.025762	0.357612	0.053931	0.005803	0.009481	0.020845	0.013623	0.017171	0.033124	0.406367
di	0.003856	0.010326	0.003676	0.007145	0.024033	0.864511	0.020605	0.003421	0.016462	0.006950	0.008308	0.009568	0.021138
##v	0.002474	0.002501	0.001059	0.003292	0.009909	0.015907	0.844577	0.009754	0.001444	0.001576	0.004037	0.004991	0.098479
##vied	0.011901	0.011628	0.005698	0.009527	0.022511	0.017693	0.048760	0.609473	0.008807	0.005625	0.009043	0.009346	0.229988
up	0.014027	0.043606	0.022222	0.037481	0.038485	0.079592	0.006500	0.012348	0.494623	0.083221	0.032354	0.020833	0.114708
among	0.002707	0.005850	0.004043	0.004612	0.010040	0.003766	0.000470	0.002634	0.004901	0.623874	0.004575	0.005691	0.326837
anything	0.019417	0.013294	0.004777	0.019628	0.030993	0.011488	0.005284	0.004519	0.006436	0.014402	0.193653	0.010293	0.665815
.	0.023783	0.024647	0.008582	0.013920	0.060927	0.033591	0.011246	0.010262	0.018052	0.047891	0.013616	0.062980	0.670502
[SEP]	0.064125	0.060068	0.045087	0.052112	0.079878	0.069941	0.066917	0.053989	0.039329	0.042130	0.042550	0.087372	0.296500
