TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.029484	0.072864	0.048399	0.092186	0.078511	0.034669	0.029417	0.056718	0.040024	0.124194	0.060326	0.052551	0.280657
None	0.032311	0.036047	0.018105	0.062085	0.039945	0.017763	0.017902	0.045610	0.020981	0.029032	0.027757	0.032139	0.620323
of	0.092958	0.063009	0.025462	0.045187	0.048385	0.024840	0.015660	0.031449	0.032431	0.076131	0.057414	0.050815	0.436259
it	0.098237	0.056763	0.019332	0.024139	0.024454	0.015375	0.015777	0.023946	0.024698	0.059408	0.043984	0.050440	0.543447
is	0.065168	0.031541	0.022602	0.029426	0.012788	0.024963	0.024787	0.033300	0.030626	0.031890	0.018642	0.049707	0.624559
di	0.049511	0.042172	0.019459	0.037369	0.030263	0.031454	0.018747	0.039877	0.033541	0.044371	0.048864	0.040795	0.563576
##v	0.025008	0.019904	0.008746	0.022281	0.011390	0.013715	0.012563	0.017091	0.016004	0.018401	0.020492	0.026511	0.787895
##vied	0.067420	0.040953	0.011813	0.028517	0.022035	0.026346	0.025110	0.031197	0.023204	0.038143	0.056936	0.032155	0.596169
up	0.082175	0.094996	0.027239	0.046235	0.041171	0.053132	0.032814	0.032282	0.050033	0.068902	0.096061	0.050590	0.324371
among	0.063611	0.063667	0.020458	0.030635	0.024415	0.017664	0.015664	0.011589	0.023194	0.047508	0.041503	0.050762	0.589330
anything	0.029886	0.022337	0.012189	0.011781	0.010377	0.005838	0.008442	0.009296	0.008866	0.019119	0.016539	0.016958	0.828373
.	0.172679	0.092363	0.020261	0.050962	0.045688	0.031734	0.013783	0.032606	0.030064	0.032098	0.027271	0.035948	0.414543
[SEP]	0.079362	0.086891	0.071163	0.077256	0.079889	0.080862	0.090092	0.079553	0.074814	0.082960	0.074618	0.076727	0.045814
