TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.023783	0.263425	0.035307	0.058225	0.167438	0.045160	0.030493	0.077546	0.023294	0.058715	0.051273	0.069255	0.096086
None	0.021585	0.137308	0.022639	0.089536	0.163850	0.017973	0.001914	0.017834	0.023452	0.029256	0.099457	0.040645	0.334550
of	0.012935	0.036942	0.077735	0.135886	0.033719	0.014054	0.004619	0.026423	0.044228	0.061393	0.044723	0.045004	0.462337
it	0.007984	0.084244	0.043595	0.052997	0.035669	0.024017	0.004535	0.028555	0.027141	0.032448	0.046354	0.045983	0.566480
is	0.013099	0.056985	0.027581	0.085298	0.321061	0.030887	0.008735	0.049523	0.023068	0.046750	0.082031	0.057389	0.197595
di	0.022154	0.088130	0.057682	0.114070	0.119448	0.030223	0.005028	0.088416	0.096126	0.085823	0.098857	0.021276	0.172768
##v	0.005821	0.004702	0.006900	0.008998	0.009316	0.010725	0.007694	0.013194	0.020585	0.022062	0.008060	0.005109	0.876835
##vied	0.006655	0.012840	0.015248	0.014093	0.010084	0.016124	0.004838	0.026385	0.027059	0.028521	0.022478	0.006421	0.809256
up	0.007083	0.018642	0.031544	0.030924	0.030402	0.017616	0.006845	0.035583	0.057758	0.060082	0.041015	0.015982	0.646524
among	0.001480	0.005659	0.007503	0.005840	0.005271	0.004193	0.001137	0.002875	0.011535	0.007357	0.008012	0.002065	0.937072
anything	0.024218	0.069806	0.032101	0.103453	0.065096	0.030507	0.005672	0.050355	0.055501	0.047716	0.049885	0.054616	0.411073
.	0.017111	0.090085	0.042208	0.169966	0.133646	0.033950	0.005343	0.040845	0.031366	0.037562	0.070592	0.044967	0.282358
[SEP]	0.010720	0.015866	0.014025	0.023304	0.013867	0.012205	0.014856	0.015961	0.014145	0.013071	0.016529	0.024802	0.810650
