TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.010973	0.003429	0.000962	0.003904	0.000279	0.000099	0.000029	0.000139	0.000058	0.000392	0.003054	0.010578	0.966105
None	0.004755	0.003889	0.000165	0.002911	0.000262	0.001220	0.001565	0.000224	0.000125	0.000018	0.000154	0.003145	0.981566
of	0.038509	0.078129	0.077684	0.036100	0.003769	0.002717	0.000506	0.000161	0.000049	0.000012	0.003014	0.017783	0.741568
it	0.009787	0.017193	0.044150	0.022962	0.001143	0.000352	0.000124	0.000367	0.000025	0.000158	0.000687	0.004779	0.898274
is	0.023551	0.007556	0.028235	0.051128	0.003183	0.003908	0.000180	0.008730	0.000526	0.001309	0.002784	0.017908	0.851002
di	0.040858	0.005980	0.002352	0.004479	0.005192	0.018349	0.002126	0.009961	0.003197	0.005575	0.020107	0.037707	0.844119
##v	0.028483	0.000808	0.000914	0.000514	0.005177	0.049104	0.000970	0.000115	0.000552	0.000126	0.000282	0.038855	0.874100
##vied	0.007725	0.001095	0.000722	0.003448	0.000715	0.002798	0.002726	0.001675	0.000567	0.000151	0.000121	0.004827	0.973430
up	0.009202	0.004433	0.004523	0.017644	0.001473	0.005827	0.000781	0.017767	0.002542	0.007985	0.003683	0.004820	0.919319
among	0.007706	0.012539	0.003821	0.031267	0.013084	0.027965	0.025532	0.307881	0.027988	0.024232	0.006147	0.005327	0.506510
anything	0.004810	0.004345	0.003063	0.014964	0.000893	0.001178	0.001327	0.001141	0.000086	0.002127	0.010978	0.010005	0.945084
.	0.053335	0.002314	0.000336	0.002363	0.000958	0.001416	0.000371	0.000660	0.000621	0.003306	0.066139	0.238096	0.630086
[SEP]	0.019578	0.005341	0.001551	0.009554	0.002598	0.001809	0.001671	0.006993	0.003236	0.009594	0.005917	0.037080	0.895077
