TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.774131	0.018680	0.035227	0.010938	0.026520	0.012283	0.004118	0.004925	0.008756	0.017221	0.007809	0.041639	0.037753
None	0.891062	0.015007	0.042759	0.003165	0.046252	0.000119	0.000039	0.000027	0.000018	0.000044	0.000005	0.000178	0.001328
of	0.155959	0.831253	0.006518	0.000345	0.005153	0.000101	0.000033	0.000004	0.000005	0.000040	0.000006	0.000067	0.000516
it	0.726313	0.114355	0.149302	0.000518	0.006698	0.002538	0.000052	0.000021	0.000002	0.000026	0.000007	0.000043	0.000128
is	0.109068	0.002107	0.038184	0.846138	0.004151	0.000127	0.000013	0.000007	0.000010	0.000028	0.000021	0.000079	0.000066
di	0.851167	0.000591	0.012755	0.009063	0.113817	0.000393	0.006869	0.003398	0.000134	0.000087	0.000008	0.000255	0.001463
##v	0.196062	0.004359	0.002907	0.005519	0.039085	0.737356	0.007469	0.000315	0.004464	0.001900	0.000032	0.000060	0.000471
##vied	0.122704	0.000450	0.002520	0.000135	0.018235	0.110124	0.736143	0.002245	0.003861	0.003076	0.000014	0.000319	0.000173
up	0.742770	0.000020	0.001953	0.001626	0.028632	0.001069	0.001859	0.191482	0.009107	0.011582	0.000636	0.007975	0.001288
among	0.771160	0.000655	0.000460	0.000473	0.012474	0.000883	0.001089	0.030989	0.049602	0.034766	0.003292	0.066156	0.028000
anything	0.603167	0.015750	0.000287	0.000029	0.004844	0.099599	0.003448	0.002283	0.008424	0.104382	0.004532	0.023412	0.129843
.	0.795346	0.000718	0.000484	0.000029	0.000067	0.000123	0.000134	0.000317	0.003236	0.063416	0.029933	0.061174	0.045022
[SEP]	0.882749	0.000071	0.000540	0.000034	0.000089	0.000138	0.000045	0.001152	0.000425	0.002195	0.005055	0.053332	0.054175
