TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.281131	0.004007	0.003973	0.010509	0.010441	0.004353	0.016891	0.036470	0.008507	0.020522	0.026464	0.039396	0.537336
None	0.015645	0.090072	0.017560	0.022552	0.043565	0.024276	0.016013	0.010470	0.017345	0.030994	0.049541	0.231601	0.430367
of	0.019397	0.058470	0.021356	0.035219	0.127645	0.013210	0.004411	0.015100	0.024131	0.221415	0.051469	0.093282	0.314896
it	0.045316	0.030016	0.038904	0.050397	0.096022	0.016052	0.014411	0.076354	0.028410	0.058533	0.092011	0.136341	0.317232
is	0.020987	0.023353	0.015447	0.019485	0.124998	0.029944	0.015834	0.133259	0.052479	0.032982	0.061754	0.203982	0.265496
di	0.016767	0.074630	0.005373	0.011549	0.045554	0.078767	0.024317	0.121331	0.026203	0.043382	0.057655	0.067245	0.427229
##v	0.015274	0.021164	0.002425	0.010988	0.004679	0.031366	0.019866	0.017087	0.005275	0.008740	0.008163	0.029285	0.825687
##vied	0.014201	0.016820	0.000840	0.010915	0.069521	0.011938	0.012138	0.175086	0.037656	0.097774	0.046636	0.114870	0.391605
up	0.014985	0.021489	0.003797	0.017009	0.046322	0.012515	0.016630	0.258218	0.073903	0.076773	0.119184	0.085582	0.253593
among	0.023622	0.012383	0.011634	0.012564	0.043547	0.013278	0.006075	0.102793	0.101295	0.066207	0.212604	0.073318	0.320681
anything	0.027731	0.011504	0.004433	0.020721	0.064332	0.013029	0.010112	0.013337	0.014906	0.021527	0.018434	0.250276	0.529658
.	0.026070	0.015258	0.004994	0.016544	0.055037	0.014364	0.023950	0.020662	0.010956	0.033795	0.035678	0.108032	0.634661
[SEP]	0.021909	0.002955	0.000505	0.001954	0.004410	0.003034	0.002712	0.004679	0.001941	0.004978	0.007274	0.022639	0.921009
