TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.012431	0.013274	0.006394	0.079570	0.252673	0.021206	0.033115	0.030685	0.092585	0.066178	0.113882	0.103815	0.174192
None	0.106253	0.022007	0.000055	0.000162	0.000103	0.000007	0.000044	0.000018	0.000047	0.001482	0.012729	0.063813	0.793280
of	0.253523	0.000100	0.146835	0.000213	0.000038	0.000126	0.000013	0.000006	0.000005	0.002521	0.000109	0.075381	0.521130
it	0.118463	0.000461	0.000488	0.173645	0.000837	0.000012	0.000053	0.000186	0.001600	0.000145	0.005119	0.059463	0.639526
is	0.085502	0.000122	0.000048	0.000205	0.050993	0.000094	0.000192	0.000004	0.000023	0.000011	0.000234	0.041919	0.820653
di	0.292934	0.000036	0.000054	0.000004	0.000070	0.130766	0.000135	0.000001	0.000007	0.000011	0.000002	0.019313	0.556667
##v	0.045820	0.000064	0.000004	0.000010	0.000067	0.000301	0.754258	0.000003	0.000002	0.000001	0.000065	0.008954	0.190449
##vied	0.082533	0.000008	0.000001	0.000030	0.000006	0.000000	0.000011	0.010546	0.000169	0.000071	0.000037	0.005099	0.901490
up	0.120376	0.000050	0.000005	0.000382	0.000012	0.000005	0.000001	0.000169	0.050042	0.000023	0.000033	0.010342	0.818558
among	0.166482	0.000253	0.000268	0.000007	0.000003	0.000001	0.000000	0.000049	0.000015	0.006242	0.000003	0.007900	0.818776
anything	0.283832	0.016862	0.000121	0.002404	0.000217	0.000005	0.000119	0.000105	0.000136	0.000087	0.095364	0.059112	0.541637
.	0.123368	0.010995	0.002865	0.004160	0.006261	0.001527	0.003161	0.000243	0.001295	0.002523	0.007919	0.165637	0.670046
[SEP]	0.034000	0.005694	0.001586	0.003177	0.007106	0.001810	0.001022	0.003744	0.003402	0.004688	0.007333	0.037124	0.889314
