TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.146723	0.013865	0.004052	0.163481	0.034427	0.010862	0.004508	0.002657	0.016065	0.005488	0.019237	0.024949	0.553687
None	0.006561	0.018465	0.019147	0.159835	0.411628	0.033506	0.002115	0.013182	0.059875	0.045442	0.084771	0.021449	0.124024
of	0.005516	0.052416	0.022917	0.284570	0.123483	0.005292	0.000551	0.004501	0.032111	0.028728	0.011926	0.001931	0.426057
it	0.012208	0.007060	0.005736	0.023337	0.089623	0.019841	0.002608	0.008713	0.027897	0.021323	0.017215	0.009905	0.754534
is	0.004951	0.001089	0.000377	0.001642	0.007772	0.081461	0.008056	0.570905	0.117219	0.059967	0.011943	0.017794	0.116825
di	0.008978	0.005937	0.001975	0.001949	0.019038	0.026856	0.016808	0.118412	0.011594	0.009423	0.006963	0.037373	0.734695
##v	0.005582	0.002309	0.001284	0.000659	0.001641	0.001667	0.006768	0.003368	0.006523	0.004254	0.002133	0.010730	0.953082
##vied	0.003720	0.000501	0.000600	0.004563	0.003447	0.000825	0.001127	0.001630	0.173713	0.055095	0.015440	0.013870	0.725468
up	0.005289	0.000316	0.000913	0.057805	0.009829	0.001133	0.002364	0.028854	0.069650	0.097636	0.120330	0.029762	0.576120
among	0.005484	0.000641	0.002580	0.005220	0.002498	0.001224	0.001188	0.012050	0.013191	0.025641	0.088073	0.035213	0.806997
anything	0.003449	0.000299	0.000140	0.000463	0.000692	0.002367	0.000333	0.005053	0.006256	0.001712	0.001151	0.012208	0.965878
.	0.020402	0.007908	0.004033	0.005927	0.006728	0.002356	0.000287	0.002023	0.002492	0.002940	0.004846	0.041271	0.898787
[SEP]	0.025098	0.000663	0.000545	0.003242	0.002698	0.000803	0.000426	0.001312	0.002215	0.002444	0.002632	0.008115	0.949809
