TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.016522	0.002435	0.000323	0.072838	0.001687	0.000044	0.000098	0.000225	0.000966	0.006785	0.006327	0.121894	0.769858
None	0.015477	0.005035	0.001202	0.016923	0.004904	0.001423	0.001051	0.000390	0.001174	0.001997	0.001474	0.002056	0.946895
of	0.012008	0.140187	0.002968	0.026264	0.007161	0.001455	0.000409	0.002118	0.003210	0.005361	0.001133	0.000496	0.797230
it	0.052960	0.132640	0.084095	0.020019	0.016493	0.000865	0.000964	0.006885	0.005140	0.058588	0.002362	0.003170	0.615820
is	0.050830	0.004311	0.001414	0.096362	0.064588	0.008804	0.006100	0.001135	0.003949	0.007505	0.034712	0.011483	0.708807
di	0.022699	0.004063	0.000787	0.056067	0.403863	0.032876	0.003750	0.024644	0.076478	0.018457	0.012691	0.004022	0.339605
##v	0.007777	0.004971	0.000230	0.005958	0.016199	0.535525	0.009496	0.001139	0.005241	0.000657	0.000739	0.001163	0.410907
##vied	0.006938	0.002847	0.000346	0.006816	0.077162	0.037826	0.006839	0.007518	0.010121	0.003085	0.002076	0.004252	0.834175
up	0.022947	0.001021	0.000381	0.006428	0.274103	0.010248	0.000839	0.079379	0.047328	0.024538	0.002291	0.011558	0.518939
among	0.005235	0.002062	0.000226	0.006629	0.065524	0.011876	0.005682	0.012875	0.059435	0.016821	0.006495	0.001788	0.805350
anything	0.001695	0.000548	0.000270	0.002073	0.005129	0.001421	0.003584	0.003406	0.007239	0.894460	0.017039	0.000863	0.062272
.	0.027334	0.006110	0.000344	0.005435	0.008271	0.001372	0.000363	0.000792	0.004955	0.058666	0.151345	0.110303	0.624710
[SEP]	0.016682	0.006695	0.003090	0.014616	0.016902	0.026254	0.010495	0.002139	0.002523	0.002126	0.004831	0.003056	0.890590
