TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.741643	0.018404	0.020341	0.012975	0.015846	0.012270	0.020180	0.011101	0.011554	0.018393	0.011039	0.011515	0.094738
None	0.741576	0.131553	0.005040	0.005708	0.003956	0.005328	0.001185	0.010618	0.004290	0.032970	0.047919	0.003692	0.006165
of	0.534053	0.048664	0.007976	0.026411	0.039098	0.018216	0.009166	0.027066	0.065250	0.051761	0.067815	0.036226	0.068297
it	0.447199	0.086605	0.014329	0.042650	0.045602	0.004626	0.004778	0.012781	0.047814	0.094708	0.093065	0.038805	0.067037
is	0.526710	0.107862	0.017119	0.038124	0.032074	0.014342	0.007643	0.013663	0.023771	0.028873	0.084011	0.028169	0.077639
di	0.602039	0.074951	0.016577	0.012383	0.008013	0.177590	0.020481	0.015710	0.005950	0.013686	0.022657	0.013068	0.016895
##v	0.535549	0.015838	0.026056	0.004274	0.007069	0.040683	0.240532	0.008953	0.011436	0.008781	0.007624	0.023634	0.069569
##vied	0.482543	0.113130	0.018290	0.027173	0.019726	0.035485	0.019476	0.108471	0.029608	0.037343	0.035911	0.030079	0.042766
up	0.676024	0.069715	0.013710	0.026300	0.016780	0.008375	0.006258	0.015841	0.074058	0.020275	0.041005	0.014273	0.017386
among	0.738912	0.072725	0.018288	0.041193	0.022776	0.008564	0.004437	0.008979	0.013365	0.027306	0.018735	0.009370	0.015349
anything	0.526140	0.177582	0.017467	0.035697	0.028908	0.006342	0.002734	0.011045	0.035169	0.022761	0.108865	0.010074	0.017217
.	0.667211	0.114014	0.019692	0.028667	0.034372	0.027678	0.011173	0.012368	0.014158	0.019186	0.026216	0.007179	0.018087
[SEP]	0.757907	0.048581	0.057527	0.027425	0.040779	0.009072	0.014037	0.007630	0.012639	0.003582	0.001822	0.003038	0.015960
