TOKEN	[CLS]	None	of	it	is	di	##v	##vied	up	among	anything	.	[SEP]
[CLS]	0.003741	0.137504	0.047706	0.069490	0.059644	0.018127	0.262516	0.047315	0.025904	0.077469	0.025071	0.181897	0.043615
None	0.004525	0.004096	0.164736	0.031065	0.094613	0.035942	0.076344	0.017380	0.050786	0.069555	0.021306	0.413441	0.016211
of	0.017561	0.017837	0.101038	0.056858	0.184700	0.069854	0.085236	0.021866	0.035506	0.051959	0.058423	0.221794	0.077367
it	0.019796	0.031679	0.125559	0.051143	0.153242	0.085992	0.129075	0.039695	0.026085	0.077262	0.068396	0.151769	0.040307
is	0.034672	0.015103	0.128792	0.039122	0.098311	0.076282	0.172062	0.023140	0.022980	0.069334	0.026100	0.236602	0.057502
di	0.026460	0.009118	0.162775	0.034737	0.092259	0.042465	0.046880	0.009834	0.031843	0.057896	0.024507	0.371546	0.089681
##v	0.029048	0.013294	0.236816	0.033457	0.104224	0.051437	0.024671	0.019028	0.050129	0.088780	0.022224	0.212177	0.114715
##vied	0.091370	0.014448	0.188663	0.041988	0.054701	0.072445	0.047527	0.004931	0.023890	0.059215	0.012542	0.307016	0.081263
up	0.024528	0.020129	0.199239	0.057283	0.093564	0.053181	0.067782	0.012563	0.014129	0.082080	0.022982	0.304906	0.047633
among	0.078241	0.029174	0.111768	0.047853	0.125867	0.045587	0.064618	0.007109	0.029456	0.068440	0.032670	0.254839	0.104379
anything	0.019321	0.054490	0.222421	0.066474	0.115126	0.049872	0.062831	0.022288	0.022585	0.063546	0.033617	0.160296	0.107132
.	0.020453	0.040828	0.042259	0.075673	0.163525	0.054193	0.102434	0.060861	0.043233	0.123500	0.053177	0.134410	0.085454
[SEP]	0.137002	0.023944	0.003250	0.016846	0.017775	0.028160	0.025613	0.012179	0.018849	0.038895	0.018141	0.013399	0.645946
